quantidade;valor_venda;desconto;id_produto;id_venda
54;1925.77;5.73;1;140039
50;710.92;5.42;1;649427
62;3442.55;14.07;1;1086926
84;399.14;11.85;1;438914
71;3894.51;3.48;1;432917
7;1148.61;7.77;1;1215316
58;3690.38;16.42;1;644941
13;2135.28;1.6;1;120679
94;2688.29;12.94;1;272882
2;4000.65;2.15;1;845166
76;2673.95;8.65;1;413447
94;3061.68;2.47;1;728234
91;447.11;13.08;1;347849
46;2425.83;14.15;1;1375186
69;4501.4;15.58;1;190594
19;350.76;6.09;1;1263731
70;3913.14;16.95;1;1192828
80;2928.92;8.78;1;245164
30;3429.98;5.13;1;978132
99;3676.98;3.82;1;371132
79;2065.17;10.94;1;1035615
6;1621.97;1.14;1;99251
52;2146.36;3.95;1;408404
23;1242.42;14.73;1;240545
8;2972.17;9.5;1;9816
35;1834.18;7.76;1;1225017
21;918.2;14.76;1;1052715
57;4097.75;0.28;1;784298
38;2639.49;13.78;1;172763
47;3301.39;7.77;1;894112
80;1357.31;5.29;1;1435761
70;943.33;12.07;1;571597
10;1525.01;16.37;1;1237179
32;1575.38;4.79;1;295450
12;4280.93;12.91;1;1106022
76;576.19;4.85;1;862392
18;1855.38;9.18;1;1104447
42;3208.49;11.26;1;20423
30;4997.49;8.18;1;965968
30;2592.1;14.62;1;286800
65;357.25;16.49;1;828372
9;2648.24;17.44;1;742870
70;727.18;19.93;1;613183
38;2580.55;1.53;1;101292
3;1577.94;0.08;1;209760
70;238.48;18.56;1;1183559
51;1495.77;4.06;1;682180
70;1648.54;8.04;1;77320
64;4011.62;14.4;1;409388
6;797.15;6.8;1;1093949
70;2555.89;4.79;1;507161
62;4583.73;4.4;1;1319828
26;208.4;6.89;1;1089677
41;3737.17;2.12;1;1248033
19;2517.42;0.69;1;276130
19;4206.91;13.79;1;283738
66;3430.39;6.35;1;494838
12;1226.79;8.17;1;1352313
92;4700.04;9.84;1;1004474
19;1974.06;7.68;1;531990
68;1846.08;9.84;1;1061085
34;174.53;0.49;1;481932
12;2129.12;13.24;1;1015614
14;2495.89;4.71;1;607086
10;4188.92;4.13;1;363874
5;3680.28;6.35;1;1098146
2;1158.23;6.82;1;1461150
10;1896.41;19.47;1;1216879
70;1153.53;10.65;1;834358
4;576.07;9.74;1;624696
95;1676.0;17.96;1;1491135
6;4531.9;17.76;1;1018293
48;3817.05;3.5;1;1281961
56;4319.98;7.21;1;92146
64;1141.46;18.95;1;683496
22;311.01;6.38;1;1144113
59;1466.41;4.96;1;345756
46;2062.48;11.02;1;451213
69;1962.21;14.61;1;1265867
56;4138.45;6.55;1;339816
6;2577.95;17.3;1;595053
18;4336.76;0.64;1;1284080
99;3582.74;12.63;1;835182
54;2486.19;5.57;1;163382
45;1968.46;10.54;1;707433
79;4951.84;16.94;1;1342322
73;2128.01;19.52;1;884980
46;3029.26;6.54;1;1293999
5;4277.87;12.86;1;1462781
94;568.47;18.93;1;912549
37;3612.82;18.13;1;1059621
42;3672.38;11.77;1;526757
3;308.38;17.88;1;121337
41;3020.98;3.38;1;367652
22;3829.65;13.03;1;168036
6;1161.86;10.93;1;889112
14;4991.34;4.89;1;57962
24;2690.76;6.57;1;1145897
48;1803.78;15.71;1;149662
89;1583.12;10.25;1;699254
25;3413.71;2.14;1;555508
35;2494.15;4.15;1;579956
61;2429.53;19.7;1;44020
10;4149.13;16.68;1;1045050
66;2245.55;0.8;1;594379
93;2830.0;12.75;1;214124
93;2047.71;3.1;1;223177
68;64.78;4.05;1;1488880
4;913.77;18.18;1;1267054
28;491.84;4.7;1;1380789
7;613.31;16.45;1;336724
16;1927.66;5.95;1;456754
80;2813.03;2.48;1;1378441
66;2214.68;4.24;1;1321410
98;3043.96;13.8;1;1027484
64;4652.01;0.51;1;1115473
88;583.35;2.06;1;1354505
7;4302.44;2.0;1;1481948
96;255.05;16.91;1;453998
14;3367.81;2.47;1;439781
16;1248.66;3.55;1;629568
30;2979.65;5.08;1;967288
99;4980.75;7.59;1;603802
83;1034.09;6.46;1;632996
28;418.92;11.9;1;1488440
52;4175.92;18.6;1;800501
76;4035.99;16.68;1;231491
79;2019.09;0.8;1;298041
26;4209.31;19.43;1;1131057
21;859.21;15.32;1;239764
56;3736.82;18.81;1;1073609
75;3203.2;13.5;1;978431
32;1722.24;7.74;1;1313864
68;2856.82;5.98;1;273990
87;3848.32;18.97;1;507479
91;106.8;6.49;1;1137156
88;2410.84;0.54;1;989330
59;1006.65;19.74;1;572149
72;4626.91;3.67;1;1290561
47;3504.15;0.45;1;1170180
16;883.47;6.58;1;459145
56;3008.26;9.44;1;657150
16;1622.66;6.51;1;667384
62;1878.47;14.42;1;276368
25;4680.09;0.81;1;981747
63;2901.45;5.22;1;1476440
28;2052.56;9.8;1;1062428
2;153.29;10.92;1;1340172
12;3875.84;2.2;1;600424
60;752.44;1.53;1;331593
76;4028.76;6.68;1;662323
56;1149.4;7.33;1;1088008
2;3843.84;1.83;1;1181618
79;2135.82;12.31;1;1329938
86;2835.32;12.3;1;1487577
90;1131.78;13.63;1;1346785
87;4850.04;3.02;1;81214
25;3176.37;6.95;1;677833
17;1776.68;7.11;1;646264
86;3563.44;12.4;1;520949
21;2826.79;17.36;1;1245315
12;4189.08;12.54;1;700314
12;820.27;15.41;1;482770
97;2153.56;15.84;1;1493693
45;4007.56;9.01;1;1173000
95;676.11;7.97;1;1361847
32;2224.01;0.62;1;1008939
99;2395.53;10.9;1;692241
19;515.04;17.71;1;290546
19;1185.22;13.52;1;430659
50;2595.61;19.11;1;600017
26;1489.82;9.89;1;533332
6;2671.86;10.13;1;838419
87;1044.54;13.95;1;1197638
31;566.26;19.67;1;994548
49;1522.08;0.25;1;870409
44;2979.77;11.5;1;1248171
54;414.14;6.24;1;1248448
97;2404.36;7.76;1;1495239
97;764.14;17.63;1;1021408
10;2757.23;6.55;1;869901
32;298.18;18.36;1;393827
84;4478.32;3.66;1;1475776
47;1830.57;0.54;1;493256
83;1112.8;5.08;1;32516
34;1052.49;6.69;1;755089
1;1388.74;1.07;1;451762
40;2084.69;0.81;1;879280
50;3096.87;14.4;1;591927
18;3951.91;6.28;1;823941
61;4301.88;16.83;1;96603
77;1602.05;7.17;1;549810
22;1540.77;11.42;1;598093
29;174.45;2.6;1;353450
39;4878.52;8.62;1;161724
86;1251.86;19.94;1;797853
62;1653.15;7.02;1;715188
83;4732.63;10.91;1;1069652
87;3339.49;15.89;1;1306128
58;2696.33;18.96;1;110687
60;1388.83;17.89;1;564811
100;3565.34;7.34;1;599483
16;3998.69;9.83;1;258282
77;1792.22;15.16;1;843077
71;2725.01;6.87;1;975380
40;1407.48;5.05;1;212963
43;1056.79;18.71;1;309896
9;2357.08;17.71;1;35171
66;4170.98;10.59;1;499145
23;2678.02;6.49;1;157668
45;985.44;1.83;1;297410
83;3428.58;4.23;1;1079825
88;766.4;2.76;1;1486054
70;1783.79;3.44;1;649591
1;4609.94;19.82;1;704990
96;1869.08;1.41;1;1219804
64;1405.87;10.44;1;1172550
48;1350.61;19.63;1;845805
62;4854.63;14.23;1;1129032
73;1499.68;16.3;1;1015852
2;2448.51;1.88;1;730855
56;3425.77;1.56;1;1230105
80;4882.42;1.12;1;736796
84;30.5;3.53;1;395207
43;1996.71;18.67;1;528251
36;4119.0;5.98;1;567595
20;2064.67;13.92;1;271932
62;2970.56;2.28;1;470650
99;1238.92;16.26;1;547065
31;768.97;0.31;1;85270
61;830.35;13.74;1;18439
32;2316.46;3.62;1;582080
17;2654.24;1.81;1;115380
57;2660.26;17.36;1;437362
23;1426.32;18.64;1;333277
69;607.65;11.6;1;1095546
94;3495.45;0.16;1;1159095
41;185.88;11.9;1;893882
91;3483.7;9.66;1;1147314
92;1789.46;5.06;1;815532
23;2329.38;17.03;1;107076
52;1102.82;8.11;1;654603
61;1721.73;8.27;1;270765
97;1952.58;7.45;1;1274229
32;2658.22;10.95;1;490473
32;1923.82;8.81;1;110843
51;199.76;1.96;1;1468622
47;4719.31;10.65;1;695697
89;3406.34;9.92;1;900733
45;287.75;17.01;1;347187
20;467.39;4.51;1;1150037
47;775.85;18.44;1;382763
92;3495.4;18.1;1;38148
18;1993.55;1.65;1;14379
65;4197.85;7.33;1;1019068
14;604.22;9.71;1;162385
75;1537.02;14.5;1;360577
64;2145.0;5.52;1;261553
26;926.51;11.98;1;1012147
8;1408.07;1.64;1;1096325
84;1975.29;14.43;1;163378
41;1426.18;2.12;1;776065
32;2839.52;3.48;1;347867
95;674.84;11.61;1;1134626
26;4561.81;17.9;1;1465952
27;2846.81;8.98;1;383396
92;1500.38;14.77;1;1271174
33;1701.0;4.47;1;92300
29;2247.32;5.98;1;853613
79;2334.75;5.8;1;450750
82;1320.7;15.62;1;295497
98;4588.21;7.03;1;318851
42;4247.79;7.31;1;953587
83;2816.99;19.8;1;374283
79;825.08;0.29;1;853137
68;4744.69;15.99;1;617943
96;1760.5;16.75;1;1133615
59;1173.19;12.48;1;210012
87;1015.5;15.5;1;455277
68;515.36;9.89;1;596658
44;215.78;5.04;1;1354405
89;3174.66;5.59;1;171360
95;439.05;12.12;1;1363022
44;432.59;13.16;1;1314724
55;4382.72;7.45;1;602872
8;2450.88;0.99;1;730883
63;3256.39;12.05;1;1153447
64;623.54;17.02;1;758272
35;377.04;12.2;1;568250
12;255.49;15.38;1;377684
56;4016.32;15.66;1;187554
3;4520.98;13.53;1;822305
92;4442.99;14.55;1;264508
73;3616.58;2.75;1;741528
19;3107.88;15.8;1;1608
43;1824.75;18.89;1;519009
100;3453.67;16.17;1;708220
84;3884.99;12.0;1;1486197
76;1454.95;14.51;1;333483
24;1871.45;12.84;1;1274087
47;4251.21;4.7;1;204408
51;4114.89;11.52;1;538815
74;321.08;2.0;1;130583
96;4350.09;16.55;1;598847
75;385.35;15.74;1;506522
84;1681.56;7.85;1;791024
31;3566.71;19.41;1;885455
18;96.02;3.9;1;1404708
12;4803.22;3.15;1;1168448
21;3237.88;18.13;1;842713
87;171.32;10.78;1;219836
70;2564.94;8.09;1;1187766
72;524.89;0.21;1;415008
91;1643.12;17.15;1;229648
71;4900.77;12.05;1;1351818
23;2803.78;0.03;1;238705
11;550.28;0.6;1;925074
25;2511.38;8.79;1;701287
86;3642.74;9.17;1;1351194
92;2120.59;7.45;1;539480
44;2431.81;2.79;1;844743
100;828.94;4.01;1;1219556
5;2767.67;11.4;1;1265496
75;3422.44;17.04;1;244810
48;1748.01;13.33;1;1028559
7;2167.1;19.02;1;1110366
29;4262.89;4.92;1;888958
95;3208.63;1.67;1;1082755
5;1949.9;19.83;1;869857
98;3532.6;12.49;1;1357297
84;3678.69;12.65;1;1027580
60;3071.81;6.03;1;1356797
50;2439.0;18.9;1;876503
76;2563.93;2.82;1;502375
80;1228.59;10.85;1;719852
15;2011.43;5.99;1;404510
72;497.27;13.66;1;915230
12;2708.85;8.36;1;833200
31;1346.05;19.72;1;1069059
42;1957.64;0.24;1;1497656
18;729.98;15.67;1;28917
28;1943.75;10.47;1;316562
94;1265.43;10.03;1;1142619
94;2203.99;5.18;1;1303375
58;418.5;6.52;1;229608
72;303.94;4.2;1;3239
12;4145.34;13.84;1;505584
14;1968.78;14.21;1;1146917
99;2398.97;9.43;1;652443
57;748.28;0.26;1;324068
78;1244.76;5.55;1;1071092
35;2762.76;19.3;1;168107
99;4011.29;11.82;1;74190
64;2325.72;5.2;1;642725
14;647.42;11.85;1;487513
91;1891.56;18.03;1;1085385
60;1573.2;18.16;1;285547
77;222.94;9.95;1;483389
58;3339.19;5.6;1;347701
8;108.74;19.4;1;434612
46;3612.34;2.3;1;236622
10;3306.92;2.72;1;879724
87;2852.75;4.06;1;349124
79;987.19;0.93;1;90830
47;1543.42;9.04;1;1118117
84;3496.04;5.27;1;939301
62;4206.0;10.76;1;822305
29;1218.46;2.13;1;1363682
79;4788.0;0.81;1;1350845
45;4499.84;11.32;1;296499
69;1302.17;2.86;1;1258564
87;1923.96;6.3;1;247639
59;1417.3;19.35;1;1240860
86;2156.86;2.43;1;557223
67;208.98;2.03;1;890576
59;275.26;18.23;1;1268814
36;3581.29;5.64;1;694044
23;4271.38;17.92;1;1383700
91;1447.34;17.86;1;791291
61;2425.04;8.36;1;1165519
2;727.24;3.63;1;834736
80;3566.29;8.53;1;1122210
63;1487.63;1.39;1;772938
98;1013.19;4.02;1;596753
52;2808.69;4.51;1;528661
72;2804.11;15.24;1;606709
100;300.48;11.73;1;315498
70;343.05;8.28;1;854925
20;97.57;9.02;1;66104
30;458.02;15.94;1;487025
53;2269.73;12.93;1;310818
24;1199.67;2.26;1;31280
67;4833.1;17.34;1;964798
58;550.59;2.52;1;282046
75;593.09;14.67;1;592260
81;1219.76;6.06;1;315532
55;3610.48;15.03;1;1495434
92;3473.05;18.8;1;1240706
39;2967.43;4.13;1;1037101
100;1772.15;17.48;1;784178
39;4470.54;16.69;1;706152
71;577.7;18.69;1;400365
61;2074.27;16.54;1;1477180
52;4852.95;1.42;1;1390221
74;1294.64;7.25;1;462662
26;4829.81;3.52;1;595180
85;2695.83;18.46;1;686588
74;1271.55;17.05;1;74960
88;1884.83;19.68;1;242122
33;3732.96;19.72;1;1180
73;574.93;13.92;1;1491891
95;2741.08;1.65;1;1212303
68;2274.71;0.91;1;1113758
70;1222.64;0.88;1;620383
29;4482.53;16.53;1;651888
21;4033.13;9.3;1;1045525
77;3259.69;17.87;1;900944
46;820.37;14.49;1;1282086
36;1476.53;2.17;1;1203162
29;2404.14;1.36;1;607855
79;4002.3;18.98;1;455669
27;2825.77;15.25;1;1117325
42;2054.13;1.92;1;1360520
39;394.69;9.37;1;94905
34;4327.54;3.89;1;567160
68;3356.53;8.52;1;195143
99;1587.41;11.67;1;66380
7;4948.14;5.54;1;979964
62;3889.47;11.89;1;1131050
40;663.61;0.67;1;891907
98;2271.32;16.52;1;466210
62;3954.21;16.18;1;1489673
45;1557.23;18.69;1;63871
77;3458.03;18.14;1;1224616
23;4352.94;9.64;1;635809
69;3428.36;10.19;1;598225
71;1290.01;10.96;1;1212704
63;1473.38;7.7;1;552260
10;3220.45;0.45;1;496257
31;4040.74;3.42;1;450823
24;246.04;11.76;1;594626
41;1332.32;1.2;1;140865
36;2461.87;7.29;1;749518
13;4308.79;0.83;1;528840
69;4255.72;14.19;1;415992
76;1910.22;8.43;1;17092
61;3235.47;13.36;1;27955
74;555.42;2.92;1;127633
62;304.57;14.35;1;1223862
98;4229.78;0.34;1;1053701
75;4751.77;17.78;1;1300913
9;1399.82;10.13;1;217600
87;3959.94;19.16;1;944875
80;2128.45;15.01;1;1431108
16;4356.39;7.22;1;176752
97;3190.33;6.25;1;837517
29;4454.26;6.31;1;1047921
96;4454.34;4.83;1;1122801
7;2974.37;5.45;1;191417
78;1584.08;13.65;1;995009
43;3407.85;1.31;1;901164
11;115.77;19.61;1;1074825
17;1919.39;8.47;1;1447644
10;4538.44;5.31;1;828127
1;2826.33;10.31;1;142828
96;2729.41;11.05;1;1215806
18;1489.57;14.63;1;904407
3;2170.59;14.35;1;859165
71;2821.89;7.15;1;1119040
2;895.4;17.26;1;117998
51;3575.79;9.46;1;210129
36;4729.9;2.04;1;405202
21;1106.99;2.66;1;1018746
70;1382.99;5.12;1;473986
18;1697.66;9.98;1;891573
6;3746.66;3.02;1;759942
71;3956.35;16.05;1;1444759
92;3108.25;1.27;1;1014053
35;1500.26;11.89;1;881299
79;3170.1;12.62;1;1101673
75;2524.95;7.55;1;225192
29;2062.14;18.35;1;127821
54;748.41;1.81;1;272448
64;2166.42;1.28;1;963927
18;675.43;18.06;1;1453853
73;2124.89;7.38;1;87931
95;654.01;19.19;1;1290315
70;1619.75;12.57;1;1215717
100;2618.47;10.51;1;1129004
67;1242.75;6.7;1;511734
81;3025.68;10.09;1;79253
88;2090.99;19.8;1;512956
96;3134.51;7.34;1;203284
25;660.98;4.65;1;484792
95;3511.44;7.76;1;1232444
56;3463.19;1.67;1;555307
76;1957.77;16.61;1;916130
46;3105.6;4.93;1;1303068
66;1509.43;5.56;1;520396
59;4453.07;1.42;1;1323771
86;3670.43;14.05;1;424057
50;429.81;14.33;1;1032697
47;4009.24;2.33;1;1080515
57;3119.62;15.05;1;374994
14;2275.66;15.78;1;1444730
10;1075.74;19.22;1;54573
56;4416.11;0.57;1;980224
47;233.92;11.98;1;887718
31;3447.87;9.13;1;189004
16;3730.91;1.31;1;1378472
65;1560.83;12.96;1;304341
38;2445.72;5.75;1;468895
21;996.57;0.81;1;160023
55;4035.42;12.47;1;427567
90;4721.55;0.7;1;1182660
21;1974.79;10.45;1;882082
99;2129.04;7.63;1;1132143
75;295.62;18.18;1;757247
57;3213.98;7.18;1;1411314
77;102.5;14.98;1;511
78;1962.47;8.26;1;780905
23;3119.97;6.72;1;410406
39;3063.49;11.37;1;1320020
62;2238.19;19.95;1;710260
64;3637.39;10.08;1;933341
62;400.81;0.19;1;310355
78;4929.4;18.27;1;1074914
90;1823.73;0.26;1;755075
95;4595.55;7.59;1;1415339
57;1290.04;7.45;1;1351820
72;1428.44;11.15;1;450930
21;2137.15;11.85;1;39874
7;3265.65;1.45;1;1391370
67;156.73;11.27;1;783324
11;3692.74;15.14;1;1337294
19;4583.68;8.47;1;390722
45;1105.64;15.13;1;597817
8;1745.51;11.65;1;930117
9;2249.15;16.97;1;891588
63;3999.82;6.54;1;1001145
29;2992.48;16.45;1;105826
93;3203.27;17.04;1;987117
91;689.87;2.29;1;597583
39;855.98;17.53;1;1472189
47;1923.87;15.99;1;1102890
29;3558.73;10.33;1;974993
24;882.37;5.32;1;1410974
3;4051.13;18.42;1;367089
97;2388.0;18.45;1;1471027
8;4869.84;3.74;1;856915
35;3624.76;5.63;1;1138768
7;1595.47;8.09;1;543505
73;1094.54;17.64;1;695879
12;2265.99;14.0;1;1190360
67;4652.64;9.59;1;303000
4;111.08;8.82;1;1288981
70;3228.63;10.48;1;841588
28;877.71;15.76;1;921607
16;3696.46;17.25;1;253253
83;1262.34;6.15;1;370094
12;1485.86;10.82;1;1078893
50;3107.64;4.42;1;171347
91;4587.77;4.34;1;943771
93;4311.93;0.24;1;555973
11;1663.89;10.61;1;794211
35;1094.71;7.08;1;620683
56;4739.35;10.21;1;1247875
55;30.85;6.59;1;559378
79;946.89;19.44;1;710810
62;1826.39;18.05;1;1050825
62;4465.2;19.69;1;983791
72;4226.53;18.34;1;603161
84;1524.62;3.53;1;629670
60;2031.8;4.13;1;191643
100;2036.82;3.75;1;645575
67;3840.26;0.42;1;1447742
79;2240.5;17.74;1;874865
99;2078.04;4.39;1;298081
50;2892.54;14.48;1;207570
98;2455.38;6.43;1;659335
19;3583.64;14.88;1;567194
34;1553.58;4.11;1;458573
39;2069.44;7.83;1;411361
2;3967.64;11.94;1;968637
88;3486.0;9.12;1;496658
71;2518.54;14.16;1;506913
19;152.23;16.01;1;553866
3;3605.71;9.89;1;893799
41;183.59;4.41;1;907263
53;1889.87;16.01;1;1099911
45;2563.38;0.47;1;384443
56;4658.19;3.69;1;1391749
29;3258.9;4.99;1;776140
94;1289.57;5.74;1;57699
28;2327.94;10.6;1;749921
49;4556.35;10.12;1;712507
79;3785.68;6.66;1;499304
55;4373.77;14.38;1;577504
9;3098.02;12.03;1;180101
39;778.77;10.16;1;105520
10;2245.87;18.75;1;1234160
52;1423.17;6.02;1;1177486
18;916.03;8.94;1;495126
35;4067.99;18.73;1;229804
64;1357.2;3.78;1;1454311
90;1917.79;5.75;1;872984
43;670.64;18.54;1;1436816
98;1804.44;19.02;1;1383470
84;987.06;13.57;1;1023871
26;3052.47;9.53;1;1332793
100;2451.66;15.44;1;672844
81;3966.44;0.73;1;137050
73;4568.58;11.36;1;791167
47;1199.85;5.82;1;692163
62;2253.53;17.81;1;1280535
76;3417.05;1.12;1;1012282
69;2150.43;8.38;1;768827
19;1017.49;7.53;1;1243876
41;1771.24;15.44;1;118546
69;3238.35;12.33;1;679914
54;2416.62;5.27;1;903263
11;4354.01;19.05;1;1106704
10;497.01;7.47;1;160727
66;533.3;15.12;1;1223608
30;100.21;7.62;1;1103521
7;275.03;10.0;1;1195462
98;3997.53;2.99;1;948183
70;914.57;1.62;1;710411
45;4807.68;3.05;1;1309709
32;4819.72;2.39;1;1014971
26;3294.03;19.74;1;1489378
45;1470.34;19.86;1;1135894
24;2284.7;16.45;1;434675
69;512.23;16.66;1;670934
5;76.45;16.31;1;1441475
100;242.23;6.41;1;1156564
25;4982.85;18.24;1;543917
70;3772.56;13.95;1;318717
54;4994.38;18.92;1;555508
100;4870.92;6.96;1;175962
50;683.17;4.54;1;1441499
9;3520.06;8.4;1;1129826
63;2222.15;2.74;1;603517
46;4144.78;2.5;1;1143268
82;4735.81;2.02;1;535372
27;4809.47;11.2;1;169341
51;4107.77;0.52;1;554234
27;1805.82;11.6;1;78737
33;3858.72;7.57;1;1337632
88;1581.88;3.62;1;145879
85;498.36;15.24;1;809604
63;107.91;11.29;1;659310
67;4264.07;1.64;1;1250321
48;3585.41;8.73;1;1273571
84;2809.47;4.98;1;1016344
78;4081.7;1.23;1;390879
40;756.81;13.05;1;916238
72;4755.34;6.93;1;287291
50;4290.96;1.8;1;1039510
36;4776.33;1.16;1;19574
88;3272.66;15.95;1;1173297
2;3663.74;18.58;1;1393337
67;3731.44;13.76;1;952255
51;2327.48;3.39;1;315478
10;4764.57;13.81;1;173799
48;325.36;16.04;1;922679
69;3150.63;13.87;1;2770
20;3067.3;15.8;1;1350318
22;1480.47;4.17;1;851633
90;1642.18;2.55;1;367934
15;1720.35;5.79;1;53255
69;3575.69;1.14;1;624504
38;1994.94;19.31;1;1421584
53;4820.51;13.37;1;109
36;4320.87;16.74;1;376875
89;4596.95;4.6;1;157538
91;3520.58;6.8;1;173580
58;3183.83;9.03;1;1360172
72;220.26;1.31;1;1336893
42;832.99;11.15;1;585709
14;844.62;14.44;1;567088
81;1804.51;6.31;1;1073788
58;2214.22;4.88;1;1264986
3;4720.48;12.29;1;163345
48;1935.22;17.08;1;677320
81;3738.07;14.83;1;134922
11;4838.8;10.05;1;1306609
42;3491.96;16.73;1;895635
90;4773.54;19.84;1;128854
78;3852.83;2.35;1;136605
67;2734.22;18.1;1;272037
18;1728.44;2.53;1;216034
31;4618.13;13.53;1;901325
22;2759.58;8.6;1;1227825
15;4675.73;12.05;1;1032018
100;4681.83;6.29;1;779774
71;1743.69;16.76;1;890624
17;819.62;13.91;1;702709
9;2021.61;3.65;1;477791
48;4526.28;14.13;1;433447
47;2253.6;4.23;1;649169
44;3610.14;3.19;1;808419
5;1062.41;18.52;1;655539
71;3515.48;4.94;1;809790
55;1604.03;6.9;1;702602
25;1161.03;8.93;1;569180
60;2490.63;6.32;1;89884
13;2287.83;3.85;1;848169
44;2008.66;12.48;1;355972
45;4263.0;13.59;1;474016
17;1609.84;11.07;1;1193022
41;521.75;1.54;1;571283
32;2146.32;1.46;1;287973
3;274.39;19.21;1;46880
10;2646.58;12.95;1;382756
35;2246.8;8.02;1;1271528
6;2253.17;16.64;1;510866
94;1103.37;12.28;1;1095848
9;93.02;1.78;1;212260
50;4690.96;3.57;1;806536
89;2066.55;11.52;1;1397989
1;3724.63;9.13;1;751278
27;3375.59;19.97;1;808854
1;2352.86;2.3;1;1474063
57;837.26;2.38;1;644398
60;23.17;2.55;1;1387033
15;3246.01;2.22;1;973759
3;958.74;14.16;1;597854
53;3333.47;15.17;1;643464
72;4885.89;17.26;1;1173532
58;337.46;18.33;1;91913
37;2486.7;19.8;1;629813
99;2987.32;0.05;1;100597
67;2632.41;12.5;1;779177
31;1569.06;19.86;1;525254
93;4741.21;3.9;1;290375
68;1831.45;18.82;1;521520
93;4502.24;3.61;1;484375
2;1042.33;12.48;1;561524
17;741.75;15.59;1;429275
95;2688.28;9.19;1;1285786
97;701.47;8.24;1;484774
28;780.24;10.11;1;830857
41;2248.49;14.33;1;859916
39;4062.09;13.62;1;1277898
42;3152.7;1.04;1;1387693
25;3498.82;16.68;1;426378
72;3707.65;18.52;1;1296799
17;1988.27;17.5;1;900709
84;4400.99;16.84;1;597188
4;192.98;2.51;1;624222
14;4288.33;14.99;1;198404
28;2083.39;1.61;1;340758
48;3168.26;15.13;1;1072291
26;1986.32;3.28;1;1225461
76;1614.54;1.59;1;940599
26;477.04;13.16;1;165438
100;407.85;5.29;1;1061972
98;95.68;13.65;1;163438
68;1358.82;4.37;1;263424
6;3958.53;16.99;1;51449
56;3676.43;1.68;1;1028304
47;3653.52;19.08;1;533143
25;915.24;5.71;1;456617
9;1974.23;6.74;1;1191970
35;1112.86;18.6;1;1345925
86;107.12;8.02;1;762348
12;1176.43;3.16;1;1191493
70;814.91;9.28;1;962680
35;813.79;3.24;1;1430489
24;3193.84;19.76;1;410531
86;3078.2;6.86;1;1001997
51;778.23;12.58;1;1046668
20;3628.23;5.38;1;1013233
27;3192.33;6.38;1;308729
53;2433.87;0.69;1;1035099
63;2939.81;13.47;1;250919
88;472.69;11.25;1;601297
46;3897.43;16.73;1;930908
13;2848.8;18.61;1;811592
33;1623.31;8.92;1;119826
58;2873.52;17.16;1;705195
89;4540.9;12.51;1;936005
48;4250.42;11.99;1;1153530
74;960.78;15.36;1;865561
48;4633.21;17.73;1;645484
91;4082.86;8.45;1;463389
82;2706.51;9.59;1;750980
43;4485.4;7.59;1;201802
19;1056.89;12.74;1;1172636
12;554.32;7.09;1;982816
42;4447.95;8.46;1;640793
