nome;valor_venda;quantidade;id_categoria;descricao
produto_cantina79;48.15;13;2;descricao79
produto_cantina80;14.92;13;20;descricao80
produto_cantina81;49.76;18;20;descricao81
produto_cantina82;43.37;42;16;descricao82
produto_cantina83;11.04;44;13;descricao83
produto_cantina84;42.25;16;14;descricao84
produto_cantina85;35.76;8;5;descricao85
produto_cantina86;26.32;49;6;descricao86
produto_cantina87;14.76;26;4;descricao87
produto_cantina88;8.9;28;4;descricao88
produto_cantina89;49.8;48;5;descricao89
produto_cantina90;14.28;2;9;descricao90
produto_cantina91;26.33;6;16;descricao91
produto_cantina92;17.56;39;16;descricao92
produto_cantina93;15.49;19;9;descricao93
produto_cantina94;40.63;36;1;descricao94
produto_cantina95;43.47;27;5;descricao95
produto_cantina96;14.77;47;4;descricao96
produto_cantina97;34.96;44;14;descricao97
produto_cantina98;14.53;43;12;descricao98
produto_cantina99;43.58;36;18;descricao99
produto_cantina100;36.92;34;13;descricao100
produto_cantina101;48.79;35;16;descricao101
produto_cantina102;49.72;1;6;descricao102
produto_cantina103;48.0;30;9;descricao103
produto_cantina104;28.43;13;14;descricao104
produto_cantina105;20.61;30;4;descricao105
produto_cantina106;6.5;4;5;descricao106
produto_cantina107;31.51;22;4;descricao107
produto_cantina108;36.45;29;3;descricao108
produto_cantina109;19.86;29;20;descricao109
produto_cantina110;11.83;27;15;descricao110
produto_cantina111;37.76;18;5;descricao111
produto_cantina112;30.42;16;6;descricao112
produto_cantina113;10.45;27;5;descricao113
produto_cantina114;12.78;34;1;descricao114
produto_cantina115;21.91;35;5;descricao115
produto_cantina116;19.15;43;6;descricao116
produto_cantina117;11.74;37;20;descricao117
produto_cantina118;37.88;37;8;descricao118
produto_cantina119;24.63;11;10;descricao119
produto_cantina120;19.08;30;18;descricao120
produto_cantina121;8.7;44;9;descricao121
produto_cantina122;39.91;4;19;descricao122
produto_cantina123;5.16;47;14;descricao123
produto_cantina124;31.1;49;2;descricao124
produto_cantina125;49.53;40;18;descricao125
produto_cantina126;22.6;48;5;descricao126
produto_cantina127;27.7;45;17;descricao127
produto_cantina128;31.08;38;2;descricao128
produto_cantina129;14.45;35;4;descricao129
produto_cantina130;49.26;18;2;descricao130
produto_cantina131;22.62;39;20;descricao131
produto_cantina132;44.57;21;11;descricao132
produto_cantina133;34.54;32;8;descricao133
produto_cantina134;9.41;32;16;descricao134
produto_cantina135;40.35;42;11;descricao135
produto_cantina136;14.6;9;14;descricao136
produto_cantina137;20.1;42;17;descricao137
produto_cantina138;17.67;38;17;descricao138
produto_cantina139;6.39;32;1;descricao139
produto_cantina140;37.37;17;2;descricao140
produto_cantina141;32.77;5;3;descricao141
produto_cantina142;35.99;6;12;descricao142
produto_cantina143;9.23;21;13;descricao143
produto_cantina144;24.8;31;17;descricao144
produto_cantina145;16.34;37;16;descricao145
produto_cantina146;23.78;33;2;descricao146
produto_cantina147;36.76;18;7;descricao147
produto_cantina148;25.61;16;11;descricao148
produto_cantina149;25.21;35;1;descricao149
produto_cantina150;35.49;17;17;descricao150
produto_cantina151;16.92;50;16;descricao151
produto_cantina152;42.45;50;8;descricao152
produto_cantina153;20.88;31;17;descricao153
produto_cantina154;29.45;18;14;descricao154
produto_cantina155;18.44;35;6;descricao155
produto_cantina156;24.67;14;3;descricao156
produto_cantina157;11.29;29;3;descricao157
produto_cantina158;35.83;47;4;descricao158
produto_cantina159;29.41;32;14;descricao159
produto_cantina160;23.91;13;18;descricao160
produto_cantina161;11.59;29;19;descricao161
produto_cantina162;6.19;41;3;descricao162
produto_cantina163;14.32;35;8;descricao163
produto_cantina164;41.26;45;15;descricao164
produto_cantina165;22.22;20;15;descricao165
produto_cantina166;20.43;22;6;descricao166
produto_cantina167;13.67;47;8;descricao167
produto_cantina168;39.01;26;16;descricao168
produto_cantina169;42.4;3;16;descricao169
produto_cantina170;12.58;47;12;descricao170
produto_cantina171;32.43;43;13;descricao171
produto_cantina172;41.79;31;12;descricao172
produto_cantina173;5.97;6;9;descricao173
produto_cantina174;16.12;43;3;descricao174
produto_cantina175;10.8;18;13;descricao175
produto_cantina176;40.58;4;16;descricao176
produto_cantina177;31.63;50;2;descricao177
produto_cantina178;21.45;24;3;descricao178
produto_cantina179;21.39;25;11;descricao179
produto_cantina180;48.15;26;16;descricao180
produto_cantina181;16.46;30;11;descricao181
produto_cantina182;38.77;11;3;descricao182
produto_cantina183;26.82;26;8;descricao183
produto_cantina184;26.56;48;7;descricao184
produto_cantina185;29.07;19;18;descricao185
produto_cantina186;40.2;46;14;descricao186
produto_cantina187;37.11;16;11;descricao187
produto_cantina188;45.67;38;6;descricao188
produto_cantina189;45.62;42;18;descricao189
produto_cantina190;22.32;41;2;descricao190
produto_cantina191;2.86;19;8;descricao191
produto_cantina192;20.03;18;2;descricao192
produto_cantina193;15.7;3;14;descricao193
produto_cantina194;35.01;25;18;descricao194
produto_cantina195;42.42;50;8;descricao195
produto_cantina196;33.56;41;8;descricao196
produto_cantina197;26.98;29;11;descricao197
produto_cantina198;18.61;7;17;descricao198
produto_cantina199;15.97;21;10;descricao199
produto_cantina200;30.68;15;18;descricao200
produto_cantina201;17.65;8;14;descricao201
produto_cantina202;30.88;24;3;descricao202
produto_cantina203;27.48;5;13;descricao203
produto_cantina204;31.78;42;8;descricao204
produto_cantina205;49.16;5;5;descricao205
produto_cantina206;43.01;2;8;descricao206
produto_cantina207;9.39;40;12;descricao207
produto_cantina208;48.94;28;6;descricao208
produto_cantina209;26.5;32;15;descricao209
produto_cantina210;8.33;7;7;descricao210
produto_cantina211;23.85;11;10;descricao211
produto_cantina212;26.44;27;7;descricao212
produto_cantina213;13.29;27;10;descricao213
produto_cantina214;46.78;1;4;descricao214
produto_cantina215;31.47;5;11;descricao215
produto_cantina216;4.39;13;10;descricao216
produto_cantina217;41.37;43;8;descricao217
produto_cantina218;17.82;4;7;descricao218
produto_cantina219;30.99;7;14;descricao219
produto_cantina220;47.12;5;14;descricao220
produto_cantina221;34.24;8;12;descricao221
produto_cantina222;20.71;22;10;descricao222
produto_cantina223;45.92;21;12;descricao223
produto_cantina224;20.6;49;19;descricao224
produto_cantina225;39.58;14;6;descricao225
produto_cantina226;16.47;12;10;descricao226
produto_cantina227;14.03;19;10;descricao227
produto_cantina228;16.26;22;9;descricao228
produto_cantina229;36.27;28;3;descricao229
produto_cantina230;39.8;5;13;descricao230
produto_cantina231;25.3;19;1;descricao231
produto_cantina232;36.4;5;12;descricao232
produto_cantina233;13.35;30;4;descricao233
produto_cantina234;6.97;2;10;descricao234
produto_cantina235;4.33;50;14;descricao235
produto_cantina236;12.14;33;3;descricao236
produto_cantina237;29.16;6;14;descricao237
produto_cantina238;32.26;28;7;descricao238
produto_cantina239;11.36;6;20;descricao239
produto_cantina240;33.8;18;12;descricao240
produto_cantina241;14.02;25;20;descricao241
produto_cantina242;43.95;33;7;descricao242
produto_cantina243;31.43;22;11;descricao243
produto_cantina244;27.45;34;19;descricao244
produto_cantina245;20.97;14;15;descricao245
produto_cantina246;25.42;34;20;descricao246
produto_cantina247;44.84;29;11;descricao247
produto_cantina248;41.87;9;9;descricao248
produto_cantina249;30.96;14;12;descricao249
produto_cantina250;38.32;16;15;descricao250
produto_cantina251;25.49;9;7;descricao251
produto_cantina252;2.26;11;12;descricao252
produto_cantina253;29.72;32;3;descricao253
produto_cantina254;35.97;6;7;descricao254
produto_cantina255;4.8;40;4;descricao255
produto_cantina256;4.76;23;15;descricao256
produto_cantina257;27.08;22;12;descricao257
produto_cantina258;11.01;17;14;descricao258
produto_cantina259;3.19;16;13;descricao259
produto_cantina260;14.63;4;2;descricao260
produto_cantina261;40.1;31;3;descricao261
produto_cantina262;31.3;31;2;descricao262
produto_cantina263;36.31;22;17;descricao263
produto_cantina264;26.55;36;17;descricao264
produto_cantina265;44.7;49;20;descricao265
produto_cantina266;20.09;23;11;descricao266
produto_cantina267;11.33;27;15;descricao267
produto_cantina268;47.77;18;16;descricao268
produto_cantina269;11.63;40;1;descricao269
produto_cantina270;12.86;15;4;descricao270
produto_cantina271;33.93;15;15;descricao271
produto_cantina272;31.11;40;14;descricao272
produto_cantina273;26.88;1;7;descricao273
produto_cantina274;34.65;13;20;descricao274
produto_cantina275;31.98;14;13;descricao275
produto_cantina276;15.41;50;6;descricao276
produto_cantina277;4.96;2;8;descricao277
produto_cantina278;30.45;7;8;descricao278
produto_cantina279;16.15;3;6;descricao279
produto_cantina280;37.13;33;13;descricao280
produto_cantina281;24.52;5;1;descricao281
produto_cantina282;41.04;25;9;descricao282
produto_cantina283;21.05;27;2;descricao283
produto_cantina284;17.31;43;3;descricao284
produto_cantina285;14.66;34;19;descricao285
produto_cantina286;26.7;41;13;descricao286
produto_cantina287;27.19;35;7;descricao287
produto_cantina288;17.78;32;19;descricao288
produto_cantina289;22.39;11;1;descricao289
produto_cantina290;42.92;34;12;descricao290
produto_cantina291;36.09;34;12;descricao291
produto_cantina292;38.19;45;14;descricao292
produto_cantina293;7.73;7;19;descricao293
produto_cantina294;32.7;18;12;descricao294
produto_cantina295;7.77;4;10;descricao295
produto_cantina296;16.62;13;1;descricao296
produto_cantina297;11.72;44;2;descricao297
produto_cantina298;11.19;38;6;descricao298
produto_cantina299;42.98;19;14;descricao299
produto_cantina300;40.05;29;12;descricao300
produto_cantina301;29.42;2;12;descricao301
produto_cantina302;47.36;13;20;descricao302
produto_cantina303;2.49;41;19;descricao303
produto_cantina304;37.98;22;15;descricao304
produto_cantina305;27.71;8;12;descricao305
produto_cantina306;27.31;6;4;descricao306
produto_cantina307;15.76;49;8;descricao307
produto_cantina308;18.91;14;17;descricao308
produto_cantina309;48.5;11;20;descricao309
produto_cantina310;25.01;50;17;descricao310
produto_cantina311;29.09;28;19;descricao311
produto_cantina312;28.11;32;15;descricao312
produto_cantina313;45.68;17;16;descricao313
produto_cantina314;14.49;35;19;descricao314
produto_cantina315;14.96;42;12;descricao315
produto_cantina316;23.94;10;15;descricao316
produto_cantina317;36.12;14;4;descricao317
produto_cantina318;12.76;46;3;descricao318
produto_cantina319;24.87;50;2;descricao319
produto_cantina320;12.33;22;16;descricao320
produto_cantina321;2.5;17;4;descricao321
produto_cantina322;7.35;15;4;descricao322
produto_cantina323;27.94;22;17;descricao323
produto_cantina324;38.24;33;1;descricao324
produto_cantina325;10.53;33;13;descricao325
produto_cantina326;11.59;2;16;descricao326
produto_cantina327;37.85;15;11;descricao327
produto_cantina328;37.48;43;15;descricao328
produto_cantina329;27.96;14;5;descricao329
produto_cantina330;3.44;32;7;descricao330
produto_cantina331;39.01;18;17;descricao331
produto_cantina332;24.3;22;18;descricao332
produto_cantina333;44.09;16;15;descricao333
produto_cantina334;24.78;39;15;descricao334
produto_cantina335;22.46;19;12;descricao335
produto_cantina336;6.15;19;2;descricao336
produto_cantina337;38.42;39;4;descricao337
produto_cantina338;8.28;31;19;descricao338
produto_cantina339;18.24;46;16;descricao339
produto_cantina340;4.06;36;8;descricao340
produto_cantina341;45.3;19;18;descricao341
produto_cantina342;43.82;48;7;descricao342
produto_cantina343;5.63;43;13;descricao343
produto_cantina344;12.04;32;14;descricao344
produto_cantina345;3.35;12;11;descricao345
produto_cantina346;33.25;7;1;descricao346
produto_cantina347;37.52;15;3;descricao347
produto_cantina348;17.65;8;8;descricao348
produto_cantina349;47.67;43;3;descricao349
produto_cantina350;11.84;5;15;descricao350
produto_cantina351;32.01;3;18;descricao351
produto_cantina352;21.79;26;15;descricao352
produto_cantina353;26.68;22;6;descricao353
produto_cantina354;9.29;29;15;descricao354
produto_cantina355;49.52;42;4;descricao355
produto_cantina356;2.82;13;1;descricao356
produto_cantina357;29.75;27;15;descricao357
produto_cantina358;42.49;12;18;descricao358
produto_cantina359;23.35;15;4;descricao359
produto_cantina360;30.15;1;6;descricao360
produto_cantina361;13.8;15;10;descricao361
produto_cantina362;15.17;42;18;descricao362
produto_cantina363;22.14;33;17;descricao363
produto_cantina364;30.91;50;6;descricao364
produto_cantina365;13.22;22;19;descricao365
produto_cantina366;27.32;23;16;descricao366
produto_cantina367;36.99;50;2;descricao367
produto_cantina368;38.26;50;2;descricao368
produto_cantina369;29.12;22;2;descricao369
produto_cantina370;44.05;23;8;descricao370
produto_cantina371;35.43;31;16;descricao371
produto_cantina372;46.73;34;18;descricao372
produto_cantina373;31.77;30;11;descricao373
produto_cantina374;44.6;4;5;descricao374
produto_cantina375;36.5;1;5;descricao375
produto_cantina376;26.88;22;14;descricao376
produto_cantina377;19.61;36;6;descricao377
produto_cantina378;38.01;31;2;descricao378
produto_cantina379;25.5;2;1;descricao379
produto_cantina380;3.03;35;4;descricao380
produto_cantina381;46.82;35;19;descricao381
produto_cantina382;41.25;16;3;descricao382
produto_cantina383;49.91;48;11;descricao383
produto_cantina384;36.95;36;10;descricao384
produto_cantina385;43.42;42;11;descricao385
produto_cantina386;4.94;10;10;descricao386
produto_cantina387;45.47;47;10;descricao387
produto_cantina388;23.47;29;7;descricao388
produto_cantina389;34.48;42;3;descricao389
produto_cantina390;36.98;17;2;descricao390
produto_cantina391;39.48;27;18;descricao391
produto_cantina392;24.82;18;2;descricao392
produto_cantina393;19.83;37;12;descricao393
produto_cantina394;42.28;15;2;descricao394
produto_cantina395;39.21;11;1;descricao395
produto_cantina396;12.78;26;16;descricao396
produto_cantina397;30.56;45;11;descricao397
produto_cantina398;9.21;49;18;descricao398
produto_cantina399;48.67;12;20;descricao399
produto_cantina400;17.89;4;1;descricao400
produto_cantina401;36.28;19;8;descricao401
produto_cantina402;25.4;35;1;descricao402
produto_cantina403;44.52;29;6;descricao403
produto_cantina404;7.99;45;11;descricao404
produto_cantina405;14.44;3;15;descricao405
produto_cantina406;16.52;3;15;descricao406
produto_cantina407;19.62;48;12;descricao407
produto_cantina408;49.68;2;15;descricao408
produto_cantina409;47.28;38;4;descricao409
produto_cantina410;36.18;50;17;descricao410
produto_cantina411;6.52;42;11;descricao411
produto_cantina412;37.95;37;4;descricao412
produto_cantina413;12.85;48;17;descricao413
produto_cantina414;49.32;1;18;descricao414
produto_cantina415;43.08;12;9;descricao415
produto_cantina416;9.31;48;10;descricao416
produto_cantina417;26.69;47;18;descricao417
produto_cantina418;12.21;17;18;descricao418
produto_cantina419;29.49;11;6;descricao419
produto_cantina420;42.96;1;7;descricao420
produto_cantina421;3.58;15;7;descricao421
produto_cantina422;27.96;30;10;descricao422
produto_cantina423;32.78;15;3;descricao423
produto_cantina424;29.13;3;12;descricao424
produto_cantina425;10.17;32;11;descricao425
produto_cantina426;33.42;37;17;descricao426
produto_cantina427;39.97;30;6;descricao427
produto_cantina428;35.15;50;3;descricao428
produto_cantina429;7.46;38;9;descricao429
produto_cantina430;49.44;22;17;descricao430
produto_cantina431;18.19;50;12;descricao431
produto_cantina432;44.08;2;20;descricao432
produto_cantina433;12.57;20;4;descricao433
produto_cantina434;42.89;7;2;descricao434
produto_cantina435;28.08;11;18;descricao435
produto_cantina436;19.9;8;10;descricao436
produto_cantina437;31.19;33;10;descricao437
produto_cantina438;26.76;46;18;descricao438
produto_cantina439;48.85;1;5;descricao439
produto_cantina440;36.72;19;8;descricao440
produto_cantina441;2.11;49;13;descricao441
produto_cantina442;49.61;9;17;descricao442
produto_cantina443;13.81;1;20;descricao443
produto_cantina444;29.3;42;11;descricao444
produto_cantina445;48.98;26;10;descricao445
produto_cantina446;29.87;40;9;descricao446
produto_cantina447;43.12;42;1;descricao447
produto_cantina448;49.56;35;15;descricao448
produto_cantina449;40.75;45;15;descricao449
produto_cantina450;19.15;33;16;descricao450
produto_cantina451;48.58;27;18;descricao451
produto_cantina452;29.56;45;6;descricao452
produto_cantina453;32.43;33;20;descricao453
produto_cantina454;41.54;34;6;descricao454
produto_cantina455;7.41;29;4;descricao455
produto_cantina456;39.35;48;15;descricao456
produto_cantina457;27.29;48;4;descricao457
produto_cantina458;21.75;19;20;descricao458
produto_cantina459;10.03;9;2;descricao459
produto_cantina460;45.59;45;13;descricao460
produto_cantina461;44.12;46;1;descricao461
produto_cantina462;31.29;28;4;descricao462
produto_cantina463;4.81;8;15;descricao463
produto_cantina464;24.11;35;10;descricao464
produto_cantina465;22.41;9;2;descricao465
produto_cantina466;45.51;43;19;descricao466
produto_cantina467;37.14;26;9;descricao467
produto_cantina468;6.25;14;6;descricao468
produto_cantina469;16.89;35;17;descricao469
produto_cantina470;8.36;32;3;descricao470
produto_cantina471;15.73;23;17;descricao471
produto_cantina472;7.63;50;12;descricao472
produto_cantina473;27.27;34;19;descricao473
produto_cantina474;6.2;7;1;descricao474
produto_cantina475;9.34;22;9;descricao475
produto_cantina476;22.26;24;5;descricao476
produto_cantina477;41.4;8;5;descricao477
produto_cantina478;26.72;31;19;descricao478
produto_cantina479;25.66;21;11;descricao479
produto_cantina480;30.56;40;16;descricao480
produto_cantina481;9.97;46;6;descricao481
produto_cantina482;44.77;26;13;descricao482
produto_cantina483;36.65;36;5;descricao483
produto_cantina484;3.24;13;3;descricao484
produto_cantina485;7.54;24;2;descricao485
produto_cantina486;7.39;24;11;descricao486
produto_cantina487;15.4;23;7;descricao487
produto_cantina488;27.58;25;15;descricao488
produto_cantina489;21.36;1;12;descricao489
produto_cantina490;10.56;49;18;descricao490
produto_cantina491;37.51;42;20;descricao491
produto_cantina492;36.66;37;17;descricao492
produto_cantina493;19.78;11;6;descricao493
produto_cantina494;4.58;24;6;descricao494
produto_cantina495;34.05;42;18;descricao495
produto_cantina496;8.45;45;7;descricao496
produto_cantina497;39.78;27;14;descricao497
produto_cantina498;11.9;35;1;descricao498
produto_cantina499;23.4;3;6;descricao499
produto_cantina500;47.1;40;4;descricao500
produto_cantina501;28.16;24;18;descricao501
produto_cantina502;2.68;8;14;descricao502
produto_cantina503;24.98;35;10;descricao503
produto_cantina504;24.87;14;12;descricao504
produto_cantina505;47.62;29;9;descricao505
produto_cantina506;41.63;40;18;descricao506
produto_cantina507;6.38;31;2;descricao507
produto_cantina508;42.97;8;6;descricao508
produto_cantina509;26.35;33;12;descricao509
produto_cantina510;18.71;31;3;descricao510
produto_cantina511;49.33;34;10;descricao511
produto_cantina512;8.63;36;15;descricao512
produto_cantina513;20.98;12;11;descricao513
produto_cantina514;8.49;34;2;descricao514
produto_cantina515;40.79;50;13;descricao515
produto_cantina516;37.51;20;8;descricao516
produto_cantina517;44.96;16;20;descricao517
produto_cantina518;33.01;9;17;descricao518
produto_cantina519;7.62;32;5;descricao519
produto_cantina520;43.27;37;10;descricao520
produto_cantina521;8.76;21;14;descricao521
produto_cantina522;16.54;19;6;descricao522
produto_cantina523;42.39;42;1;descricao523
produto_cantina524;16.56;7;6;descricao524
produto_cantina525;9.27;18;8;descricao525
produto_cantina526;2.99;25;18;descricao526
produto_cantina527;37.02;16;10;descricao527
produto_cantina528;11.46;45;18;descricao528
produto_cantina529;19.94;33;1;descricao529
produto_cantina530;11.79;22;17;descricao530
produto_cantina531;12.86;20;1;descricao531
produto_cantina532;22.83;3;17;descricao532
produto_cantina533;47.03;12;6;descricao533
produto_cantina534;4.88;49;13;descricao534
produto_cantina535;39.63;50;9;descricao535
produto_cantina536;3.42;30;1;descricao536
produto_cantina537;41.07;13;6;descricao537
produto_cantina538;47.47;37;16;descricao538
produto_cantina539;5.41;10;8;descricao539
produto_cantina540;31.7;12;2;descricao540
produto_cantina541;25.44;33;1;descricao541
produto_cantina542;11.56;7;2;descricao542
produto_cantina543;36.4;11;9;descricao543
produto_cantina544;9.48;38;6;descricao544
produto_cantina545;49.36;15;19;descricao545
produto_cantina546;48.9;16;2;descricao546
produto_cantina547;15.29;43;13;descricao547
produto_cantina548;28.67;1;15;descricao548
produto_cantina549;37.42;11;10;descricao549
produto_cantina550;15.43;26;8;descricao550
produto_cantina551;11.35;18;7;descricao551
produto_cantina552;25.64;29;1;descricao552
produto_cantina553;6.32;21;7;descricao553
produto_cantina554;28.92;47;6;descricao554
produto_cantina555;17.27;37;19;descricao555
produto_cantina556;27.29;36;13;descricao556
produto_cantina557;22.13;29;13;descricao557
produto_cantina558;44.63;14;3;descricao558
produto_cantina559;10.05;34;19;descricao559
produto_cantina560;3.55;3;2;descricao560
produto_cantina561;13.12;16;9;descricao561
produto_cantina562;15.94;47;18;descricao562
produto_cantina563;46.08;5;18;descricao563
produto_cantina564;13.4;15;19;descricao564
produto_cantina565;27.2;44;16;descricao565
produto_cantina566;27.52;40;19;descricao566
produto_cantina567;42.78;8;19;descricao567
produto_cantina568;33.74;42;14;descricao568
produto_cantina569;25.48;21;7;descricao569
produto_cantina570;9.43;49;9;descricao570
produto_cantina571;6.36;9;1;descricao571
produto_cantina572;17.59;22;14;descricao572
produto_cantina573;12.45;50;18;descricao573
produto_cantina574;41.27;48;5;descricao574
produto_cantina575;6.75;33;15;descricao575
produto_cantina576;26.67;7;20;descricao576
produto_cantina577;2.32;29;14;descricao577
produto_cantina578;42.92;22;10;descricao578
produto_cantina579;44.73;2;11;descricao579
produto_cantina580;40.46;3;18;descricao580
produto_cantina581;18.85;9;14;descricao581
produto_cantina582;22.42;28;12;descricao582
produto_cantina583;33.61;17;12;descricao583
produto_cantina584;21.06;1;16;descricao584
produto_cantina585;12.73;29;13;descricao585
produto_cantina586;46.82;47;13;descricao586
produto_cantina587;47.25;29;7;descricao587
produto_cantina588;15.69;31;7;descricao588
produto_cantina589;19.97;18;6;descricao589
produto_cantina590;16.43;34;11;descricao590
produto_cantina591;17.88;47;10;descricao591
produto_cantina592;15.51;18;13;descricao592
produto_cantina593;38.02;42;18;descricao593
produto_cantina594;43.64;37;5;descricao594
produto_cantina595;6.57;14;14;descricao595
produto_cantina596;22.61;19;6;descricao596
produto_cantina597;18.46;4;4;descricao597
produto_cantina598;24.14;32;17;descricao598
produto_cantina599;5.35;3;18;descricao599
produto_cantina600;26.36;33;9;descricao600
produto_cantina601;21.36;7;1;descricao601
produto_cantina602;32.97;5;14;descricao602
produto_cantina603;35.22;41;2;descricao603
produto_cantina604;8.62;30;14;descricao604
produto_cantina605;39.14;4;15;descricao605
produto_cantina606;23.91;13;1;descricao606
produto_cantina607;9.31;42;15;descricao607
produto_cantina608;36.38;25;17;descricao608
produto_cantina609;25.01;26;20;descricao609
produto_cantina610;7.74;48;6;descricao610
produto_cantina611;11.28;50;20;descricao611
produto_cantina612;33.58;43;7;descricao612
produto_cantina613;4.7;25;1;descricao613
produto_cantina614;17.05;44;14;descricao614
produto_cantina615;35.39;28;15;descricao615
produto_cantina616;13.28;20;13;descricao616
produto_cantina617;13.31;25;4;descricao617
produto_cantina618;25.99;38;13;descricao618
produto_cantina619;16.74;7;19;descricao619
produto_cantina620;42.26;19;5;descricao620
produto_cantina621;24.94;26;4;descricao621
produto_cantina622;37.17;50;4;descricao622
produto_cantina623;9.24;4;1;descricao623
produto_cantina624;41.37;26;3;descricao624
produto_cantina625;7.27;50;11;descricao625
produto_cantina626;27.29;39;14;descricao626
produto_cantina627;4.85;31;9;descricao627
produto_cantina628;38.22;5;2;descricao628
produto_cantina629;43.76;30;10;descricao629
produto_cantina630;5.84;21;4;descricao630
produto_cantina631;5.8;2;2;descricao631
produto_cantina632;4.77;10;6;descricao632
produto_cantina633;49.55;10;12;descricao633
produto_cantina634;45.61;31;12;descricao634
produto_cantina635;25.01;46;17;descricao635
produto_cantina636;6.13;38;14;descricao636
produto_cantina637;22.44;41;15;descricao637
produto_cantina638;19.96;35;15;descricao638
produto_cantina639;19.72;26;8;descricao639
produto_cantina640;17.33;39;15;descricao640
produto_cantina641;32.0;3;17;descricao641
produto_cantina642;14.88;2;8;descricao642
produto_cantina643;2.74;43;10;descricao643
produto_cantina644;20.78;22;1;descricao644
produto_cantina645;15.47;16;2;descricao645
produto_cantina646;49.9;7;16;descricao646
produto_cantina647;49.33;12;2;descricao647
produto_cantina648;7.46;37;12;descricao648
produto_cantina649;46.94;34;5;descricao649
produto_cantina650;8.16;43;9;descricao650
produto_cantina651;43.33;14;6;descricao651
produto_cantina652;24.69;17;6;descricao652
produto_cantina653;20.7;21;5;descricao653
produto_cantina654;13.1;39;18;descricao654
produto_cantina655;36.51;18;3;descricao655
produto_cantina656;32.05;17;14;descricao656
produto_cantina657;15.96;11;13;descricao657
produto_cantina658;9.92;4;19;descricao658
produto_cantina659;41.4;50;15;descricao659
produto_cantina660;10.92;32;15;descricao660
produto_cantina661;31.15;33;19;descricao661
produto_cantina662;37.8;7;5;descricao662
produto_cantina663;40.5;33;1;descricao663
produto_cantina664;40.29;40;5;descricao664
