nome;valor_venda;quantidade;id_categoria
produto431;370.79;4;6
produto432;3379.74;23;5
produto433;883.24;46;11
produto434;458.71;11;3
produto435;787.58;7;14
produto436;450.09;30;19
produto437;3967.25;8;10
produto438;162.61;34;16
produto439;352.94;22;15
produto440;1807.71;38;13
produto441;1086.35;15;18
produto442;3481.95;10;16
produto443;2109.32;16;2
produto444;315.82;32;11
produto445;1897.5;46;20
produto446;2976.63;36;17
produto447;1901.19;20;8
produto448;553.33;39;5
produto449;3154.61;31;9
produto450;2379.1;19;8
produto451;846.56;32;18
produto452;1994.72;5;11
produto453;385.28;7;8
produto454;1541.03;49;16
produto455;2313.72;26;5
produto456;4710.89;32;14
produto457;3136.23;10;15
produto458;4490.64;8;1
produto459;2005.99;11;10
produto460;1030.36;41;15
produto461;2096.18;37;7
produto462;2548.81;25;17
produto463;3117.5;41;19
produto464;503.49;34;1
produto465;2700.36;49;9
produto466;4050.99;37;16
produto467;2311.88;17;5
produto468;2560.1;49;5
produto469;2704.95;29;5
produto470;4010.41;37;3
produto471;1530.06;24;16
produto472;3176.19;30;6
produto473;1289.03;33;17
produto474;2664.68;6;3
produto475;2884.8;18;12
produto476;2974.7;50;19
produto477;599.03;49;9
produto478;1112.36;8;1
produto479;3004.73;24;7
produto480;3969.62;6;12
produto481;2238.8;34;4
produto482;2489.97;38;10
produto483;4337.57;26;10
produto484;201.29;31;12
produto485;2684.47;43;14
produto486;436.11;16;2
produto487;3553.56;39;3
produto488;3821.32;11;14
produto489;3962.06;32;7
produto490;138.34;20;12
produto491;4355.75;46;3
produto492;4150.4;47;3
produto493;1375.11;46;4
produto494;1103.34;8;20
produto495;4572.58;34;6
produto496;4593.32;29;5
produto497;2484.96;15;3
produto498;4141.75;32;5
produto499;2441.33;26;16
produto500;715.04;15;12
produto501;2641.14;46;4
produto502;2567.42;28;6
produto503;228.0;13;18
produto504;3452.3;6;16
produto505;2195.83;21;16
produto506;4938.67;30;10
produto507;1574.74;11;10
produto508;2437.52;3;1
produto509;1552.93;4;11
produto510;706.12;35;11
produto511;3513.46;5;8
produto512;2437.58;47;2
produto513;1700.15;3;14
produto514;299.85;17;5
produto515;4446.91;4;3
produto516;3643.68;5;11
produto517;2781.59;14;10
produto518;496.17;19;14
produto519;2187.52;15;6
produto520;396.59;33;12
produto521;1867.57;9;10
produto522;3441.65;25;15
produto523;1983.94;13;7
produto524;1822.82;43;2
produto525;2157.26;5;7
produto526;2308.65;45;16
produto527;3855.91;6;2
produto528;3435.65;44;4
produto529;2435.12;46;19
produto530;3580.51;15;5
produto531;705.62;36;19
produto532;3203.34;48;16
produto533;4769.03;26;10
produto534;4021.5;31;17
produto535;2435.61;19;15
produto536;4194.54;15;1
produto537;2828.01;27;5
produto538;862.24;14;15
produto539;2486.01;6;12
produto540;4402.11;19;11
produto541;795.68;35;6
produto542;3010.64;32;8
produto543;1043.94;6;7
produto544;2239.43;32;17
produto545;1547.35;25;14
produto546;1219.2;17;10
produto547;1506.99;1;19
produto548;1443.08;23;16
produto549;3260.41;27;10
produto550;3696.04;33;14
produto551;4962.27;46;5
produto552;606.15;28;9
produto553;1226.22;38;17
produto554;79.88;45;1
produto555;3816.4;48;19
produto556;4829.96;41;15
produto557;3321.61;13;4
produto558;718.01;19;2
produto559;3888.53;38;7
produto560;975.04;5;14
produto561;433.45;19;3
produto562;4185.78;40;8
produto563;706.24;25;8
produto564;4129.21;14;12
produto565;801.44;16;18
produto566;2398.55;27;5
produto567;3300.62;40;17
produto568;2299.41;30;2
produto569;3289.85;37;5
produto570;1681.1;30;11
produto571;2112.81;25;14
produto572;479.74;12;17
produto573;3709.74;22;6
produto574;3352.04;7;1
produto575;3095.73;5;18
produto576;1709.68;36;3
produto577;4000.29;29;13
produto578;4127.58;19;1
produto579;1324.36;35;15
produto580;2591.3;11;16
produto581;888.52;15;8
produto582;3773.95;10;6
produto583;1152.93;7;17
produto584;1830.92;26;1
produto585;3306.95;36;18
produto586;755.03;2;17
produto587;4974.87;6;15
produto588;4609.73;17;1
produto589;2696.44;41;16
produto590;1500.91;15;8
produto591;2688.41;18;11
produto592;1295.86;35;8
produto593;1352.5;34;1
produto594;3075.72;24;14
produto595;4317.52;13;5
produto596;1674.17;48;6
produto597;1902.94;26;19
produto598;4235.06;16;1
produto599;3229.0;14;2
produto600;3696.96;20;4
produto601;860.55;1;5
produto602;225.01;16;13
produto603;1287.94;9;9
produto604;4492.18;36;18
produto605;1619.37;45;2
produto606;2546.86;23;10
produto607;3355.87;38;15
produto608;4997.94;36;18
produto609;2701.98;19;15
produto610;3539.29;28;14
produto611;779.84;11;13
produto612;4108.77;37;10
produto613;348.92;32;11
produto614;4897.34;19;15
produto615;4618.79;34;5
produto616;2001.0;16;19
produto617;326.23;10;8
produto618;4740.53;6;19
produto619;1964.73;31;12
produto620;4542.99;12;15
produto621;3199.96;8;4
produto622;407.67;35;20
produto623;4755.74;18;14
produto624;3271.32;31;13
produto625;956.94;25;9
produto626;2828.94;49;6
produto627;4193.36;38;13
produto628;2338.95;23;16
produto629;3415.25;33;12
produto630;3932.52;14;17
produto631;2584.22;5;13
produto632;3277.82;5;9
produto633;3318.16;36;1
produto634;1613.04;17;16
produto635;647.93;3;11
produto636;718.27;10;18
produto637;236.97;20;1
produto638;89.34;16;8
produto639;1397.66;24;13
produto640;3669.26;23;11
produto641;3318.7;31;15
produto642;3358.37;35;12
produto643;1036.07;12;15
produto644;2617.93;11;5
produto645;1515.63;7;15
produto646;684.5;26;15
produto647;4660.6;47;13
produto648;3936.31;49;2
produto649;921.49;34;9
produto650;4235.2;21;10
produto651;3842.56;43;18
produto652;1966.92;1;20
produto653;3084.35;16;16
produto654;4922.3;49;7
produto655;3286.77;26;10
produto656;2820.82;42;16
produto657;339.89;13;4
produto658;315.78;46;14
produto659;3572.28;36;14
produto660;635.52;26;13
produto661;4666.11;1;2
produto662;4242.14;41;14
produto663;1000.06;13;1
produto664;3683.48;18;13
produto665;1628.09;31;1
produto666;2846.27;12;5
produto667;2484.63;44;1
produto668;3890.44;10;17
produto669;3823.46;1;18
produto670;1915.85;35;18
produto671;2017.23;48;3
produto672;4691.01;50;13
produto673;582.23;41;12
produto674;1553.83;33;3
produto675;1123.92;37;11
produto676;2584.21;38;17
produto677;447.78;23;13
produto678;2763.98;11;17
produto679;1231.87;47;14
produto680;2141.08;12;16
produto681;2299.23;11;4
produto682;834.85;50;3
produto683;584.8;43;1
produto684;3108.98;17;19
produto685;2073.69;40;17
produto686;1303.2;22;7
produto687;295.57;38;6
produto688;22.95;33;19
produto689;2006.98;16;5
produto690;90.67;27;3
produto691;813.12;1;5
produto692;3084.41;43;2
produto693;957.38;44;8
produto694;2431.96;44;12
produto695;3418.68;48;7
produto696;4807.86;9;3
produto697;3068.42;24;15
produto698;1998.04;6;9
produto699;3563.21;37;11
produto700;101.88;12;12
produto701;4062.91;23;14
produto702;257.68;3;20
produto703;1480.88;16;15
produto704;2382.93;12;5
produto705;1084.05;34;3
produto706;3712.84;43;10
produto707;377.31;16;8
produto708;4064.6;11;4
produto709;3733.69;23;15
produto710;2174.99;1;3
produto711;2553.45;39;18
produto712;114.71;21;13
produto713;157.39;40;4
produto714;552.87;26;5
produto715;3814.8;19;11
produto716;2876.01;47;18
produto717;1723.56;32;16
produto718;2299.53;39;7
produto719;2706.9;13;12
produto720;236.94;48;10
produto721;707.45;8;3
produto722;3066.18;22;18
produto723;946.35;18;20
produto724;4623.3;50;7
produto725;205.68;29;13
produto726;2187.28;47;7
produto727;3261.4;21;12
produto728;3928.97;6;18
produto729;2567.52;29;3
produto730;774.47;11;20
produto731;534.59;46;1
produto732;1373.02;23;14
produto733;332.89;18;16
produto734;3527.62;21;1
produto735;1309.44;11;20
produto736;1618.93;18;14
produto737;2368.73;25;18
produto738;4135.59;40;1
produto739;4469.76;50;5
produto740;2251.06;19;9
produto741;3304.7;43;4
produto742;1972.7;15;20
produto743;4544.57;27;17
produto744;3907.27;2;17
produto745;4082.23;9;8
produto746;4145.65;4;12
produto747;874.2;36;19
produto748;1207.11;12;10
produto749;2394.33;7;5
produto750;2284.08;12;8
produto751;1416.26;42;19
produto752;401.69;22;1
produto753;3921.79;26;9
produto754;1247.58;47;6
produto755;4341.8;38;20
produto756;3457.49;2;5
produto757;1236.89;39;8
produto758;2046.39;39;20
produto759;1035.86;40;18
produto760;396.05;36;19
produto761;373.33;22;11
produto762;45.01;33;18
produto763;320.1;20;11
produto764;997.46;48;15
produto765;295.26;15;9
produto766;2305.46;45;8
produto767;4474.14;34;15
produto768;2601.3;26;12
produto769;2355.57;21;15
produto770;3415.41;21;5
produto771;3268.6;18;16
produto772;3122.32;21;9
produto773;714.43;11;11
produto774;3247.14;24;1
produto775;4645.16;26;14
produto776;515.92;39;17
produto777;2624.79;41;16
produto778;4519.76;16;4
produto779;148.16;3;19
produto780;3851.55;32;5
produto781;738.38;33;4
produto782;4349.57;48;9
produto783;2483.39;26;5
produto784;3839.6;6;9
produto785;1864.86;6;12
produto786;604.15;13;1
produto787;3396.37;18;10
produto788;3882.72;7;7
produto789;2082.88;49;16
produto790;2126.52;39;6
produto791;469.66;5;2
produto792;2080.59;12;19
produto793;383.61;38;14
produto794;422.94;4;9
produto795;4895.91;24;5
produto796;888.32;27;19
produto797;1677.26;29;13
produto798;4863.03;22;18
produto799;1067.07;18;19
produto800;1875.33;9;12
produto801;4998.19;6;1
produto802;2385.9;46;5
produto803;3160.72;14;16
produto804;315.95;43;12
produto805;4409.83;30;19
produto806;3106.25;24;11
produto807;4733.09;34;18
produto808;3458.03;20;13
produto809;2147.61;20;13
produto810;3605.93;9;17
produto811;4288.96;31;17
produto812;3759.09;6;2
produto813;3911.34;21;4
produto814;3508.34;21;14
produto815;1693.34;22;18
produto816;4730.36;29;1
produto817;2425.07;19;13
produto818;4553.66;29;16
produto819;1416.1;39;18
produto820;4040.69;19;12
produto821;2106.9;3;8
produto822;3299.22;25;10
produto823;1127.13;47;18
produto824;3095.21;22;9
produto825;2342.25;43;12
produto826;1590.69;21;13
produto827;3655.59;42;18
produto828;1183.89;49;5
produto829;3771.92;40;9
produto830;4917.57;35;19
produto831;817.7;25;16
produto832;3029.36;33;4
produto833;2654.74;48;20
produto834;3408.24;10;7
produto835;2128.83;18;2
produto836;1641.95;16;9
produto837;3325.84;5;10
produto838;1335.56;35;19
produto839;935.65;5;4
produto840;4539.1;7;18
produto841;791.6;8;11
produto842;3287.23;15;16
produto843;3275.39;20;9
produto844;2517.87;19;1
produto845;4605.28;34;8
produto846;3208.38;10;8
produto847;4585.4;18;12
produto848;4516.58;15;15
produto849;1855.97;22;5
produto850;2657.25;4;2
produto851;2776.26;19;8
produto852;4992.43;23;1
produto853;1511.05;50;2
produto854;3001.15;49;3
produto855;1236.23;2;6
produto856;4429.8;30;7
produto857;4111.48;43;1
produto858;3784.48;5;18
produto859;38.32;9;11
produto860;1008.62;50;8
produto861;4268.27;24;4
produto862;1829.93;17;4
produto863;3861.83;44;15
produto864;3813.46;38;8
produto865;4706.17;5;2
produto866;4573.45;6;3
produto867;3397.07;1;3
produto868;2694.27;22;20
produto869;769.34;28;16
produto870;1948.8;4;13
produto871;1921.96;31;19
produto872;1919.61;20;6
produto873;1067.2;49;18
produto874;1194.49;45;16
produto875;1864.38;14;10
produto876;2786.87;8;11
produto877;3756.43;29;6
produto878;4752.55;49;15
produto879;4367.61;31;5
produto880;476.77;34;20
produto881;2989.68;11;12
produto882;2540.91;29;20
produto883;1781.99;22;18
produto884;292.61;7;5
produto885;2126.76;33;10
produto886;4823.81;33;5
produto887;3037.83;34;2
produto888;4072.36;23;13
produto889;208.88;49;4
produto890;3031.63;41;8
produto891;1328.37;28;8
produto892;1477.43;3;7
produto893;4535.28;42;20
produto894;3841.89;15;5
produto895;4605.2;6;2
produto896;3937.91;39;14
produto897;212.46;23;13
produto898;3247.53;7;14
produto899;1662.35;10;4
produto900;749.23;21;18
produto901;3235.02;44;8
produto902;2397.82;48;8
produto903;2992.08;2;17
produto904;1588.87;18;2
produto905;4445.2;50;3
produto906;4853.35;39;2
produto907;4508.72;10;3
produto908;1598.26;44;4
produto909;312.11;7;1
produto910;2736.19;34;17
produto911;4464.53;45;2
produto912;917.73;14;12
produto913;1550.82;50;18
produto914;651.74;33;7
produto915;3799.16;39;14
produto916;2859.34;23;14
produto917;2304.57;13;20
produto918;2342.11;18;16
produto919;2225.76;8;1
produto920;3793.83;38;3
produto921;3817.57;10;11
produto922;977.09;21;5
produto923;164.92;34;18
produto924;2698.12;13;8
produto925;590.52;1;19
produto926;4276.17;22;7
produto927;3862.27;43;4
produto928;3851.16;12;2
produto929;1787.31;8;3
produto930;608.83;43;13
produto931;2145.18;32;18
produto932;140.66;50;3
produto933;4604.69;21;13
produto934;614.36;32;10
produto935;345.58;14;10
produto936;924.2;46;7
produto937;921.96;32;17
produto938;4296.59;14;4
produto939;3062.86;38;7
produto940;3101.37;2;18
produto941;1919.0;4;7
produto942;2553.22;5;8
produto943;1148.37;44;5
produto944;4373.81;1;4
produto945;3645.61;30;4
produto946;2598.36;49;5
produto947;1832.87;17;19
produto948;4378.51;47;17
produto949;1270.73;5;12
produto950;3694.06;7;2
produto951;2318.17;30;9
produto952;1690.65;29;17
produto953;352.11;20;19
produto954;1350.4;6;6
produto955;4071.39;9;20
produto956;1108.0;12;12
produto957;2002.08;24;17
produto958;1769.11;33;1
produto959;4981.56;13;8
produto960;1763.52;38;3
produto961;3269.01;1;20
produto962;2048.48;29;13
produto963;4698.24;42;2
produto964;555.22;42;6
produto965;764.49;36;14
produto966;1123.1;17;15
produto967;3743.66;42;15
produto968;2250.04;42;20
produto969;3347.97;34;5
produto970;1461.72;39;10
produto971;1238.73;43;20
produto972;451.11;5;12
produto973;2540.36;4;4
produto974;1617.92;17;19
produto975;1649.68;9;11
produto976;4938.17;22;19
produto977;1665.82;18;17
produto978;1428.5;41;3
produto979;1342.19;42;9
produto980;900.69;10;15
produto981;3676.38;45;4
produto982;2508.34;32;1
produto983;794.24;40;3
produto984;1874.18;1;7
produto985;464.68;33;13
produto986;3689.67;14;8
produto987;53.1;15;11
produto988;3514.6;23;17
produto989;4383.1;39;11
produto990;887.34;41;19
produto991;3018.41;50;11
produto992;1133.48;45;17
produto993;1132.95;43;6
produto994;1283.71;28;7
produto995;2169.92;6;8
produto996;901.47;21;19
produto997;1637.56;34;14
produto998;3019.08;43;2
produto999;2699.83;21;10
produto1000;3850.61;13;12
produto1001;2609.61;39;6
produto1002;4612.87;19;3
produto1003;45.81;8;16
produto1004;1902.73;20;6
produto1005;2785.48;15;5
produto1006;91.36;16;2
produto1007;43.44;42;10
produto1008;3526.77;4;7
produto1009;1975.0;35;11
produto1010;96.67;37;6
produto1011;1514.8;15;5
produto1012;1519.26;13;11
produto1013;1027.42;15;8
produto1014;3569.8;45;20
produto1015;2340.91;13;2
produto1016;4079.48;11;3
produto1017;2382.48;30;5
produto1018;3220.47;32;16
produto1019;3351.66;41;13
produto1020;2571.42;50;8
produto1021;3839.82;8;3
produto1022;1870.89;11;9
produto1023;137.45;43;11
produto1024;3798.17;37;10
produto1025;3170.43;19;10
produto1026;1035.35;22;6
produto1027;2574.43;2;4
produto1028;2639.9;35;2
produto1029;4654.69;8;5
produto1030;1774.54;22;16
produto1031;2305.74;35;10
produto1032;1711.32;3;20
produto1033;473.78;21;13
produto1034;3268.93;11;20
produto1035;2202.69;24;5
produto1036;3162.4;25;7
produto1037;204.21;31;10
produto1038;3735.26;43;18
produto1039;904.19;39;16
produto1040;3539.29;45;5
produto1041;4911.1;27;13
produto1042;1889.09;25;18
produto1043;227.44;22;3
produto1044;4581.72;30;2
produto1045;4547.58;38;11
produto1046;1533.47;35;8
produto1047;4472.28;29;12
produto1048;3508.9;37;10
produto1049;1607.89;27;6
produto1050;3103.94;50;10
produto1051;2740.73;42;8
produto1052;1879.8;29;15
produto1053;4403.75;9;1
produto1054;2455.19;9;8
produto1055;3928.13;30;4
produto1056;550.02;40;16
produto1057;2937.61;29;9
produto1058;2568.15;25;16
produto1059;3640.73;39;8
produto1060;3278.65;6;2
produto1061;2646.6;32;14
produto1062;2793.93;3;8
produto1063;102.76;37;12
produto1064;425.5;48;3
produto1065;4433.94;43;20
produto1066;2774.83;25;10
produto1067;772.54;29;4
produto1068;2308.6;34;16
produto1069;1426.92;25;13
produto1070;3994.21;27;4
produto1071;3977.87;30;3
produto1072;3754.48;28;17
produto1073;197.57;14;9
produto1074;3453.45;35;1
produto1075;993.0;15;14
produto1076;1341.25;35;12
produto1077;456.76;20;12
produto1078;4308.35;50;1
produto1079;4834.47;20;1
produto1080;199.31;12;8
produto1081;2213.78;18;3
produto1082;3776.29;1;13
produto1083;2626.08;35;11
produto1084;2813.33;21;2
produto1085;2141.35;44;3
