nome;valor_venda;quantidade;id_categoria;litragem;altura;id_tipo_prancha
prancha55;3232.32;33;17;1.28;7.37;1
prancha56;2275.31;37;5;3.49;3.38;4
prancha57;3723.97;49;1;2.94;7.91;5
prancha58;4536.57;38;17;6.95;9.02;4
prancha59;520.4;20;7;6.17;9.13;6
prancha60;3795.45;28;18;1.32;7.97;4
prancha61;4931.86;21;7;2.92;5.69;4
prancha62;2502.96;46;15;7.89;4.16;5
prancha63;2807.82;39;5;1.59;9.37;7
prancha64;1539.48;17;13;7.71;4.76;5
prancha65;720.74;48;20;8.58;1.0;5
prancha66;4146.59;47;14;5.65;7.92;3
prancha67;2663.35;26;15;5.86;4.57;4
prancha68;2842.79;3;5;6.73;3.11;1
prancha69;2372.14;24;4;4.09;6.86;1
prancha70;4807.72;15;9;6.41;3.44;2
prancha71;3143.45;48;10;3.99;5.61;3
prancha72;1951.79;26;12;4.85;7.83;3
prancha73;4526.32;42;18;9.0;4.79;7
prancha74;1411.99;27;3;7.38;5.41;7
prancha75;4751.38;50;17;4.51;8.69;1
prancha76;4336.23;45;6;2.52;5.33;1
prancha77;1199.18;43;4;5.65;6.89;2
prancha78;3268.82;19;18;5.48;8.89;2
prancha79;4785.5;23;11;4.39;5.7;1
prancha80;2017.92;2;14;7.6;9.67;6
prancha81;54.68;39;7;3.4;2.71;7
prancha82;3152.81;10;5;8.49;6.28;6
prancha83;606.53;42;18;3.47;5.67;7
prancha84;1543.22;26;7;2.03;4.84;6
prancha85;2610.12;29;17;4.98;4.9;5
prancha86;1467.02;46;15;5.05;6.08;3
prancha87;4101.56;47;7;9.54;3.89;5
prancha88;1960.42;36;18;5.99;7.96;4
prancha89;4048.08;1;12;3.21;2.73;5
prancha90;3638.8;3;11;4.15;9.89;4
prancha91;4485.24;7;3;3.71;9.71;1
prancha92;146.66;31;14;2.19;4.93;1
prancha93;1469.24;24;12;7.92;8.53;6
prancha94;3980.09;48;11;5.64;3.58;6
prancha95;2568.44;27;8;2.71;3.41;7
prancha96;4530.21;39;6;4.13;6.93;1
prancha97;1998.81;33;1;3.02;2.31;4
prancha98;2361.31;25;16;3.71;9.78;1
prancha99;1629.04;9;2;1.39;5.76;2
prancha100;3288.15;1;5;8.05;9.63;3
prancha101;2110.0;29;7;3.05;9.46;7
prancha102;4122.62;42;9;8.07;7.86;1
prancha103;1463.97;1;8;4.79;2.25;4
prancha104;155.48;1;19;5.53;2.02;5
prancha105;3425.9;7;12;5.24;2.79;7
prancha106;3600.19;38;16;3.85;2.5;5
prancha107;3777.86;19;9;1.7;7.05;3
prancha108;4035.75;38;13;3.06;6.79;2
prancha109;3116.97;3;20;2.66;8.99;2
prancha110;1122.69;43;9;8.85;2.37;1
prancha111;2391.54;41;7;9.09;5.23;7
prancha112;2792.31;32;15;2.05;2.68;2
prancha113;2380.85;39;10;7.31;7.57;3
prancha114;1002.15;10;6;3.46;2.89;2
prancha115;322.59;30;7;5.88;9.33;7
prancha116;4984.53;21;10;5.65;1.58;7
prancha117;3857.77;7;2;9.8;1.54;5
prancha118;3298.57;26;6;8.09;6.57;7
prancha119;4865.26;12;9;6.63;4.29;4
prancha120;2459.06;40;8;1.58;2.45;2
prancha121;707.95;35;17;8.23;5.15;4
prancha122;1413.3;49;16;6.6;2.37;5
prancha123;623.65;8;13;7.68;3.82;4
prancha124;2713.5;35;5;8.64;4.49;4
prancha125;1270.67;40;13;4.56;1.05;7
prancha126;948.49;32;5;3.0;7.13;7
prancha127;1611.22;14;18;3.74;4.8;6
prancha128;2271.53;11;8;6.3;1.17;6
prancha129;2408.47;7;18;7.38;5.71;7
prancha130;3749.93;34;7;3.1;1.34;5
prancha131;4825.63;35;5;8.59;4.12;5
prancha132;4350.79;32;2;7.34;4.71;4
prancha133;2243.93;46;11;9.46;3.89;7
prancha134;4601.53;34;11;1.93;4.84;7
prancha135;2873.71;37;4;8.32;1.52;6
prancha136;4890.51;24;16;4.12;9.5;1
prancha137;3237.7;8;7;7.08;2.27;3
prancha138;1265.45;11;1;4.61;4.56;6
prancha139;2187.72;28;15;1.68;9.36;1
prancha140;4434.86;23;12;9.88;9.87;4
prancha141;2206.9;35;16;8.46;2.56;1
prancha142;4124.94;32;10;7.18;1.08;4
prancha143;680.65;2;15;5.68;2.76;6
prancha144;33.84;26;12;1.43;8.34;6
prancha145;2147.87;4;9;2.21;3.01;7
prancha146;4999.36;49;2;9.9;8.46;3
prancha147;3722.23;11;17;2.03;9.83;7
prancha148;1513.64;35;7;9.96;4.55;1
prancha149;819.1;46;7;8.39;1.15;5
prancha150;1786.0;2;12;1.25;6.07;3
prancha151;861.38;17;3;3.28;1.46;3
prancha152;344.7;18;1;1.19;1.02;3
prancha153;2218.64;23;3;5.09;1.87;1
prancha154;1033.42;47;1;6.14;9.86;1
prancha155;4192.32;22;10;8.99;6.3;7
prancha156;4387.6;36;6;2.82;5.41;6
prancha157;3838.5;38;11;1.19;7.78;6
prancha158;3998.36;48;7;7.36;8.63;1
prancha159;3020.59;20;12;2.8;5.63;4
prancha160;1435.52;7;19;1.7;6.28;1
prancha161;1321.52;48;10;2.83;7.8;3
prancha162;803.14;39;6;8.9;3.12;7
prancha163;1481.96;15;19;6.31;4.21;6
prancha164;1992.51;36;15;1.46;4.37;3
prancha165;2354.43;38;6;8.4;3.17;2
prancha166;1952.74;5;18;7.36;8.97;3
prancha167;1964.81;20;5;7.92;7.44;6
prancha168;3217.52;34;1;8.58;8.52;4
prancha169;3960.03;5;14;9.78;4.27;6
prancha170;4641.96;17;19;9.78;7.9;1
prancha171;3354.38;38;15;8.24;6.81;4
prancha172;2973.93;49;11;5.82;2.56;5
prancha173;1506.69;50;16;3.17;6.31;7
prancha174;3079.66;26;4;4.0;4.47;6
prancha175;3412.15;14;8;1.4;5.64;5
prancha176;3748.75;39;3;6.55;8.2;5
prancha177;2861.5;44;16;5.83;3.58;1
prancha178;1691.75;8;18;1.41;7.13;2
prancha179;2135.97;41;7;4.9;1.81;2
prancha180;2376.73;10;8;3.62;3.87;6
prancha181;4253.06;50;18;9.86;7.94;4
prancha182;3974.1;39;5;1.42;2.3;3
prancha183;648.69;12;9;1.21;6.2;6
prancha184;3770.48;5;9;3.31;9.71;4
prancha185;4720.1;25;9;6.09;7.92;4
prancha186;3290.61;40;2;9.75;5.09;3
prancha187;4754.45;29;18;1.94;5.1;3
prancha188;4598.46;34;4;9.07;8.12;5
prancha189;1124.03;38;16;5.19;1.09;3
prancha190;1927.68;33;9;5.35;4.89;6
prancha191;511.26;15;16;4.88;8.26;2
prancha192;4045.72;42;17;3.5;1.94;3
prancha193;3392.1;30;15;9.96;7.34;2
prancha194;3039.34;24;8;1.02;3.44;1
prancha195;3695.72;32;2;5.33;7.41;1
prancha196;1977.09;24;1;6.3;8.27;7
prancha197;413.0;50;15;7.55;9.88;1
prancha198;1038.16;24;9;4.67;6.42;1
prancha199;484.1;26;6;3.92;7.05;5
prancha200;3412.17;9;5;4.98;8.22;4
prancha201;1610.08;8;5;9.9;1.13;5
prancha202;1663.4;44;11;7.27;8.02;5
prancha203;2249.2;10;13;2.9;7.52;7
prancha204;2634.77;17;18;4.43;9.2;6
prancha205;99.19;8;2;6.66;1.98;1
prancha206;710.07;13;11;5.74;9.21;7
prancha207;972.76;16;14;2.35;9.36;2
prancha208;2202.61;44;13;1.16;7.12;4
prancha209;3407.48;16;9;6.08;3.42;5
prancha210;3265.47;18;6;3.54;8.23;2
prancha211;3491.06;25;13;9.24;8.69;5
prancha212;3609.69;41;16;4.28;8.43;1
prancha213;3209.83;22;14;3.19;2.66;1
prancha214;4145.59;42;15;5.33;8.42;3
prancha215;3561.06;38;6;3.61;9.38;1
prancha216;3515.39;7;15;8.24;6.48;6
prancha217;224.0;30;8;3.78;9.48;3
prancha218;2270.86;4;19;7.35;9.96;4
prancha219;4252.34;7;5;6.16;6.52;2
prancha220;58.5;7;19;3.76;2.67;5
prancha221;2328.87;26;11;2.16;9.62;7
prancha222;2855.22;45;7;6.19;3.31;2
prancha223;1635.24;11;14;7.65;6.15;1
prancha224;390.73;26;3;6.7;5.9;4
prancha225;2459.7;43;14;6.37;7.8;1
prancha226;292.18;4;9;1.32;3.69;7
prancha227;1092.28;25;7;6.63;3.57;2
prancha228;2306.83;9;13;8.93;7.73;2
prancha229;3572.8;1;2;4.06;8.14;7
prancha230;2030.73;1;8;6.03;3.58;2
prancha231;3164.47;8;19;5.36;3.78;2
prancha232;2704.34;5;5;7.54;3.09;3
prancha233;660.44;27;14;2.24;6.0;4
prancha234;1853.01;41;18;2.5;5.66;4
prancha235;761.99;38;8;5.06;4.51;2
prancha236;3083.72;5;12;1.51;6.06;3
prancha237;4740.81;33;2;7.95;7.54;5
prancha238;2652.14;10;19;1.01;4.99;2
prancha239;4067.1;47;11;8.67;7.09;7
prancha240;1877.54;8;12;8.42;3.95;2
prancha241;3383.27;43;17;3.31;3.23;3
prancha242;2319.03;9;4;2.85;2.27;3
prancha243;1626.98;16;3;2.38;3.06;4
prancha244;1042.54;48;6;8.71;3.06;6
prancha245;100.81;18;14;8.01;2.6;4
prancha246;773.09;12;11;1.73;4.2;4
prancha247;2924.03;15;19;6.14;4.73;5
prancha248;4643.79;4;4;1.88;8.72;3
prancha249;95.75;3;19;5.83;7.59;3
prancha250;392.79;25;10;9.23;8.93;5
prancha251;4483.74;46;7;1.88;5.42;6
prancha252;1499.84;39;6;9.81;4.18;5
prancha253;2097.06;26;16;3.35;9.6;6
prancha254;2995.87;26;5;5.16;1.2;7
prancha255;2135.52;9;1;2.28;1.98;2
prancha256;4018.9;19;19;4.9;4.82;7
prancha257;804.91;50;12;7.15;4.93;5
prancha258;2290.61;30;16;5.2;6.73;2
prancha259;3103.59;27;16;3.88;5.45;3
prancha260;203.05;42;3;6.89;1.22;6
prancha261;839.56;10;12;5.31;1.68;1
prancha262;286.39;43;15;5.47;3.24;7
prancha263;4728.06;35;5;6.56;6.71;4
prancha264;3510.49;22;13;2.1;7.77;6
prancha265;3890.35;14;6;5.63;7.24;1
prancha266;2887.04;42;1;5.21;5.41;1
prancha267;2476.49;50;19;9.85;7.05;4
prancha268;1414.89;29;2;5.9;8.43;3
prancha269;1686.01;41;15;6.49;1.71;4
prancha270;2986.88;6;17;9.46;7.45;4
prancha271;1878.9;48;16;5.82;7.6;1
prancha272;1752.85;23;9;8.61;2.11;4
prancha273;1423.88;11;1;4.5;2.38;1
prancha274;4456.23;37;5;8.24;7.95;7
prancha275;2357.32;44;14;5.78;7.84;2
prancha276;3214.81;19;6;3.22;2.67;3
prancha277;1582.1;20;11;4.01;5.74;1
prancha278;2881.98;50;7;1.54;4.86;5
prancha279;1909.49;44;10;7.17;6.99;1
prancha280;614.17;4;9;7.94;4.09;4
prancha281;2395.55;37;17;8.87;5.67;5
prancha282;1662.19;33;6;6.54;1.14;2
prancha283;1117.81;41;14;8.3;3.79;6
prancha284;252.58;10;9;6.43;6.52;6
prancha285;2740.25;47;5;1.02;3.59;7
prancha286;3683.68;19;18;9.65;5.94;7
prancha287;2889.96;41;15;1.19;5.5;5
prancha288;391.34;17;20;3.45;7.45;1
prancha289;2189.13;27;19;5.55;7.69;5
prancha290;2926.84;46;16;9.79;8.67;5
prancha291;96.93;21;9;2.66;8.97;7
prancha292;1131.97;39;15;2.21;9.62;1
prancha293;4416.32;32;6;7.26;8.07;4
prancha294;1184.92;13;14;6.16;2.85;2
prancha295;4107.36;50;8;3.96;6.68;7
prancha296;3998.48;33;16;3.45;4.67;7
prancha297;847.47;45;10;7.54;3.35;1
prancha298;2896.99;7;9;2.72;5.52;2
prancha299;2580.15;20;20;7.71;5.43;7
prancha300;3395.75;13;15;2.72;8.2;2
prancha301;3926.43;50;19;6.78;4.04;1
prancha302;3999.13;11;19;4.74;7.33;1
prancha303;3215.01;39;13;8.36;5.23;1
prancha304;881.83;47;19;7.95;3.72;6
prancha305;3813.99;17;2;9.91;9.58;1
prancha306;3153.26;33;16;1.72;5.4;7
prancha307;4592.67;41;18;8.95;9.84;2
prancha308;2252.69;28;3;1.53;5.44;2
prancha309;2059.5;40;5;8.21;7.51;4
prancha310;3626.18;41;18;9.43;5.44;3
prancha311;4806.49;41;8;7.97;9.87;7
prancha312;1640.16;5;19;2.24;3.2;3
prancha313;2864.39;49;6;1.89;1.68;6
prancha314;986.3;4;4;8.7;2.65;5
prancha315;3121.06;50;16;8.98;7.75;6
prancha316;1262.58;3;17;5.27;2.54;6
prancha317;4570.21;23;17;9.38;9.26;2
prancha318;4874.31;42;3;4.7;6.83;2
prancha319;604.0;27;7;5.33;9.11;3
prancha320;4493.88;11;2;6.35;7.94;3
prancha321;1800.0;36;8;6.6;4.46;2
prancha322;3381.91;14;17;2.38;2.51;6
prancha323;4507.13;40;8;3.03;2.52;1
prancha324;4922.35;23;11;8.42;5.43;2
prancha325;3129.07;18;18;2.41;1.32;5
prancha326;3432.8;27;18;1.27;2.89;4
prancha327;3433.64;31;1;9.15;2.97;5
prancha328;131.46;41;10;7.79;4.58;2
prancha329;3479.72;19;3;9.96;4.46;7
prancha330;3928.87;39;5;8.56;9.26;7
prancha331;421.94;47;1;3.06;6.57;6
prancha332;1412.98;13;19;8.68;1.73;1
prancha333;2072.72;24;1;9.89;2.73;7
prancha334;1852.49;47;18;9.69;8.78;3
prancha335;4832.91;9;16;6.83;6.57;4
prancha336;1783.57;43;15;2.21;2.17;7
prancha337;3856.06;7;8;6.76;3.07;1
prancha338;3250.81;28;1;7.12;2.39;5
prancha339;1576.77;39;11;8.38;7.25;3
prancha340;1084.16;24;6;5.73;8.14;3
prancha341;2764.98;10;9;1.95;6.08;5
prancha342;1846.14;9;6;1.04;3.78;5
prancha343;4240.73;13;18;9.62;7.7;6
prancha344;3794.96;29;5;1.29;7.9;3
prancha345;2242.35;4;9;1.02;2.69;2
prancha346;514.07;34;13;2.76;9.72;4
prancha347;2479.4;13;4;9.98;6.74;3
prancha348;3084.7;45;16;8.67;5.18;6
prancha349;105.45;25;19;4.51;9.09;1
prancha350;2674.16;36;18;9.62;8.62;5
prancha351;2378.41;22;10;2.45;8.58;3
prancha352;1504.24;35;5;6.76;3.66;5
prancha353;3361.94;3;20;9.54;7.13;7
prancha354;866.93;28;20;5.84;3.69;1
prancha355;3812.9;17;17;8.93;4.24;6
prancha356;1901.73;18;15;3.22;2.76;4
prancha357;1560.82;1;12;4.98;1.47;7
prancha358;1491.42;28;15;9.91;1.94;7
prancha359;4973.18;50;8;2.36;9.96;1
prancha360;3520.06;37;9;6.09;4.99;4
prancha361;947.4;48;19;5.79;8.87;3
prancha362;3077.77;24;11;6.43;2.68;7
prancha363;2741.77;9;17;6.76;3.14;2
prancha364;2797.02;5;9;6.84;6.72;3
prancha365;1442.87;32;11;1.55;4.43;4
prancha366;4778.29;41;13;7.01;5.87;3
prancha367;1562.14;2;4;5.86;6.13;4
prancha368;1389.51;17;15;6.49;4.58;3
prancha369;2905.64;45;17;1.15;8.23;2
prancha370;4669.39;18;15;6.41;9.52;7
prancha371;313.86;50;6;8.02;2.3;6
prancha372;1003.24;33;18;9.29;5.51;2
prancha373;2303.73;48;15;9.14;1.39;5
prancha374;3434.78;18;8;4.82;2.57;6
prancha375;3580.93;36;17;5.64;5.96;4
prancha376;4077.32;30;8;8.27;3.17;3
prancha377;979.94;49;1;6.09;4.12;1
prancha378;4341.82;21;7;6.75;7.69;1
prancha379;360.13;35;18;2.23;6.85;3
prancha380;1530.82;25;15;5.87;6.6;7
prancha381;4069.88;17;20;3.94;9.98;1
prancha382;1401.44;46;12;4.68;4.54;5
prancha383;946.13;48;3;3.54;6.96;6
prancha384;35.09;46;19;3.52;9.56;2
prancha385;2635.58;25;20;2.11;1.83;4
prancha386;4303.69;31;5;3.61;5.58;7
prancha387;3028.88;49;2;2.54;2.28;1
prancha388;3276.19;18;12;7.37;9.28;3
prancha389;96.81;48;18;1.58;3.9;7
prancha390;4453.53;35;20;4.48;1.34;7
prancha391;2448.31;4;17;1.52;1.33;5
prancha392;3757.77;30;2;4.56;6.93;1
prancha393;4688.96;22;11;5.82;1.58;6
prancha394;4552.97;20;15;1.14;5.78;3
prancha395;2132.25;37;9;3.36;4.34;4
prancha396;3244.16;46;19;9.26;1.26;3
prancha397;1542.74;14;6;1.29;1.66;3
prancha398;758.43;29;15;1.6;8.93;3
prancha399;1392.94;33;10;6.97;1.38;2
prancha400;1898.77;28;2;5.9;1.47;7
prancha401;684.81;33;1;5.81;5.39;3
prancha402;3642.94;31;17;4.1;8.09;4
prancha403;3621.39;39;4;3.23;3.93;7
prancha404;1118.79;50;18;9.07;1.4;5
prancha405;3658.94;3;13;8.6;7.31;6
prancha406;1027.81;4;12;4.29;2.42;2
prancha407;3329.92;33;5;2.56;6.64;1
prancha408;3709.18;36;19;6.82;6.15;2
prancha409;1530.11;36;3;4.62;4.21;2
prancha410;4674.84;22;10;4.5;1.39;7
prancha411;1403.99;49;9;3.49;8.45;3
prancha412;2898.27;5;20;7.25;8.52;1
prancha413;2978.49;15;14;1.05;8.34;7
prancha414;1769.14;22;19;2.11;3.31;2
prancha415;2163.87;37;5;1.38;5.16;7
prancha416;4681.28;15;1;3.16;6.19;4
prancha417;821.15;27;10;6.3;1.8;4
prancha418;1176.99;7;12;2.07;9.33;3
prancha419;3855.45;25;1;9.2;8.22;1
prancha420;4031.5;35;16;8.54;3.81;5
prancha421;3655.81;10;20;4.69;2.32;2
prancha422;413.14;47;19;9.68;4.11;5
prancha423;4508.36;29;5;6.3;5.47;7
prancha424;327.94;40;16;7.33;7.08;5
prancha425;4747.35;25;10;9.77;6.8;7
prancha426;2781.04;13;8;5.04;1.22;5
prancha427;2104.89;8;19;3.43;8.79;5
prancha428;4833.86;6;4;4.29;4.84;1
prancha429;2613.72;27;13;3.41;5.52;2
prancha430;388.64;34;15;1.54;5.45;2
prancha431;296.7;5;13;1.89;5.4;7
prancha432;1721.07;46;1;5.57;7.13;4
prancha433;4285.69;22;11;4.72;1.82;4
prancha434;3690.73;36;15;4.19;2.7;2
prancha435;639.25;21;18;8.49;6.69;4
prancha436;3430.09;23;19;4.56;4.97;7
prancha437;3485.38;29;13;9.05;5.32;1
prancha438;3071.61;10;6;6.83;3.39;2
prancha439;227.2;38;17;2.64;7.46;1
prancha440;4867.92;17;2;1.44;3.89;7
prancha441;754.84;17;2;1.67;8.62;3
prancha442;4807.65;33;10;6.54;6.22;2
prancha443;3166.27;25;16;9.99;9.59;7
prancha444;202.93;14;5;3.16;1.95;7
prancha445;3386.19;19;19;8.27;4.87;6
prancha446;4607.26;3;2;3.59;7.39;2
prancha447;3642.24;21;15;4.49;6.58;7
prancha448;37.8;33;3;9.54;3.22;3
prancha449;3770.65;5;18;3.96;4.09;4
prancha450;2029.96;43;14;7.06;3.01;6
prancha451;1151.41;34;14;6.25;7.25;4
prancha452;4525.09;4;20;6.63;3.96;5
prancha453;3915.99;33;3;3.64;3.22;5
prancha454;232.23;41;15;5.35;6.73;4
prancha455;1354.39;29;5;3.71;5.61;4
prancha456;2665.28;41;13;6.41;2.17;5
prancha457;2098.43;25;3;7.68;3.75;4
prancha458;2796.92;7;16;4.21;2.29;6
prancha459;1571.45;34;4;5.59;1.22;5
prancha460;2209.78;45;14;2.17;7.73;2
prancha461;2149.83;24;7;7.23;6.31;3
prancha462;1802.31;9;10;1.91;3.68;2
prancha463;242.61;22;10;5.8;8.67;4
prancha464;2706.85;27;4;4.1;2.85;5
prancha465;2654.22;21;4;3.44;8.14;1
prancha466;4478.8;45;13;2.94;8.77;2
prancha467;4716.33;19;9;9.55;8.44;1
prancha468;3973.83;14;15;5.59;9.19;4
prancha469;3498.27;39;17;4.43;4.8;1
prancha470;2401.77;13;6;3.13;3.78;2
prancha471;2590.93;50;15;7.48;1.07;1
prancha472;3559.28;39;2;5.55;9.21;4
prancha473;3737.83;19;14;8.7;7.41;7
prancha474;2546.91;46;9;7.05;7.83;7
prancha475;92.68;42;5;8.74;4.62;4
prancha476;3994.68;34;5;8.6;7.94;1
prancha477;664.83;17;14;9.97;2.88;5
prancha478;1041.66;39;6;6.26;4.63;4
prancha479;3524.14;10;9;2.39;1.97;2
prancha480;2622.27;31;1;5.05;3.44;1
prancha481;39.51;12;15;8.81;9.35;4
prancha482;1845.8;2;20;3.78;3.19;1
prancha483;4823.3;9;17;8.37;4.29;6
prancha484;3367.63;14;13;3.68;9.92;2
prancha485;3792.15;8;20;8.65;2.79;6
prancha486;4952.15;34;5;7.06;9.55;5
prancha487;3345.97;46;15;9.82;6.32;4
prancha488;632.4;18;18;7.47;4.2;2
prancha489;392.36;45;1;1.15;6.72;6
prancha490;532.8;5;4;3.12;3.8;5
prancha491;4927.41;26;10;2.07;7.03;1
prancha492;1719.8;42;8;8.05;3.08;4
prancha493;4803.9;43;13;1.66;7.51;3
prancha494;3964.35;21;18;3.84;9.15;1
prancha495;4326.51;17;10;8.72;7.59;6
prancha496;2057.4;40;2;6.28;8.92;5
prancha497;2556.26;16;10;2.14;7.48;5
prancha498;4347.81;37;1;4.23;1.81;2
prancha499;2985.19;9;8;9.17;3.03;3
prancha500;2731.86;41;12;1.65;1.32;5
prancha501;115.04;18;19;4.64;9.59;5
prancha502;2815.66;50;15;9.0;9.65;2
prancha503;2066.16;23;12;4.88;3.52;7
prancha504;2631.43;15;15;3.39;1.62;6
prancha505;2681.41;5;20;2.61;2.38;1
prancha506;1215.2;41;17;6.99;5.73;3
prancha507;1438.45;3;8;6.77;8.84;3
prancha508;4793.69;7;11;4.54;6.25;4
prancha509;1405.2;13;20;6.72;8.05;6
prancha510;4743.7;20;11;2.84;1.44;3
prancha511;2072.53;5;8;4.82;4.64;4
prancha512;3230.97;35;11;5.33;3.56;4
prancha513;990.85;15;2;2.93;8.88;6
prancha514;889.27;2;20;6.46;2.93;1
prancha515;3212.93;25;4;8.27;9.93;3
prancha516;4983.87;4;19;1.22;2.6;2
prancha517;4545.72;27;8;6.81;4.48;3
prancha518;1784.41;32;15;3.64;2.67;5
prancha519;3865.92;50;13;3.61;7.04;3
prancha520;4007.98;11;11;1.28;3.99;2
prancha521;4995.43;16;19;6.77;7.4;1
prancha522;1880.21;9;3;1.66;3.75;6
prancha523;1522.7;10;8;3.05;5.72;6
prancha524;2334.31;20;19;8.61;4.28;4
prancha525;4787.85;4;16;4.04;9.06;2
prancha526;2570.05;26;17;4.81;5.05;7
prancha527;4467.86;23;12;3.09;4.32;6
prancha528;2322.06;35;13;3.54;5.57;6
prancha529;989.58;21;17;9.43;1.21;4
prancha530;4228.66;12;20;4.32;3.36;1
prancha531;1009.37;48;2;2.77;2.84;4
prancha532;1008.32;15;7;3.72;3.37;7
prancha533;524.63;1;9;1.01;2.26;1
prancha534;1255.72;23;16;8.37;3.86;1
prancha535;3287.76;42;15;7.29;3.37;1
prancha536;4982.6;8;4;2.49;9.08;7
prancha537;440.97;35;3;7.63;9.93;4
prancha538;3694.58;6;19;1.2;2.88;1
prancha539;2431.05;12;13;4.79;3.51;3
prancha540;4972.86;20;4;6.57;6.06;4
prancha541;1703.87;29;12;2.66;7.47;6
prancha542;4188.26;14;14;9.17;4.43;7
prancha543;296.12;30;9;2.86;9.24;4
prancha544;285.83;50;9;9.7;1.34;4
prancha545;88.27;17;19;6.92;2.23;6
prancha546;631.39;50;4;1.7;9.7;4
prancha547;4344.81;41;13;7.65;7.63;3
prancha548;2032.1;27;16;6.57;5.82;7
prancha549;1734.08;10;16;6.66;4.48;5
prancha550;1513.78;35;19;7.17;9.73;7
prancha551;1028.98;28;10;3.06;1.47;1
prancha552;4836.45;36;18;8.68;9.63;6
prancha553;3198.13;1;5;7.1;1.65;7
prancha554;494.28;23;15;9.45;3.02;1
prancha555;1829.43;39;17;4.17;3.35;3
prancha556;2067.54;21;14;1.62;8.82;1
prancha557;1708.13;22;14;3.2;3.77;5
prancha558;1216.63;17;3;1.17;5.36;3
prancha559;2397.03;40;4;5.22;1.91;5
prancha560;105.4;7;8;8.52;2.54;6
prancha561;3247.24;46;4;5.51;7.95;4
prancha562;4267.54;35;3;4.91;2.04;6
prancha563;369.69;25;16;7.67;1.39;5
prancha564;765.12;48;15;6.75;9.67;1
prancha565;3815.09;43;16;4.66;9.87;5
prancha566;1810.2;33;18;1.09;5.99;4
prancha567;4208.44;44;2;3.34;5.32;3
prancha568;2546.56;34;7;7.78;2.32;1
prancha569;1699.53;18;18;2.57;7.83;6
prancha570;818.82;27;15;8.54;9.75;7
prancha571;2995.33;26;13;6.39;1.84;1
prancha572;4531.57;49;11;3.57;4.92;1
prancha573;3443.54;16;6;2.45;5.27;6
prancha574;3286.06;23;17;9.42;4.04;5
prancha575;1566.32;7;14;5.56;3.41;3
prancha576;4535.3;43;1;9.16;4.63;4
prancha577;2932.51;37;5;6.82;9.69;7
prancha578;2389.32;48;7;9.78;4.41;6
prancha579;4377.23;17;8;8.35;8.36;1
prancha580;254.01;23;2;9.91;7.57;6
prancha581;3216.4;28;10;8.01;7.71;4
prancha582;2066.33;16;17;2.48;2.62;4
prancha583;637.03;30;4;6.2;2.66;6
prancha584;3788.42;23;10;8.84;5.69;3
